basename,iss,pyannote,speechbrain,silero,rvad,maxaccuracy,medaccuracy,BEST_DIFFICULTY,MED_DIFFICULTY
radio-FBL-20210131T132313-60,1,0.906112573294243,0.975513039367285,0.953358208955224,0.156949626865672,1,0.953358208955224,EASY,EASY
radio-FBL-20210404T234419-60,1,1,1,0.940031982942431,0.246401918976546,1,1,EASY,EASY
radio-FBL-20210418T174018-60,0.967861963933405,0.989604245266692,0.970267523041041,0.977172821986085,0.432037658786473,0.989604245266692,0.970267523041041,EASY,EASY
radio-FBL-20210502T035452-60,1,0.850543025445335,1,0.403442702171269,0.0851677192514705,1,0.850543025445335,EASY,MEDIUM
radio-FBL-20210608T220712-60,0.876390823649733,0.989261342596674,0.767064561046943,0.990724903457883,0.959055562412936,0.990724903457883,0.959055562412936,EASY,EASY
radio-FBL-20210702T150454-60,0.990787108931968,0.981531686761704,0.940465179540273,0.988553680794263,0.961787440456457,0.990787108931968,0.981531686761704,EASY,EASY
radio-FBL-20210715T025455-60,1,0.730330689373615,1,0.450100814850611,0.0268450784022932,1,0.730330689373615,EASY,HARD
radio-FBL-20210808T205100-60,1,0.954305252370399,1,0.813367549282632,0.274966256186366,1,0.954305252370399,EASY,EASY
radio-FBL-20210824T044522-60,1,0.675048307569296,0.916544537554417,0.641857675906183,0.0560034648187632,1,0.675048307569296,EASY,HARD
radio-FBL-20210825T051706-60,0.974339450239853,0.974339450239853,0.974339450239853,0.967676844589964,0.984257214650118,0.984257214650118,0.974339450239853,EASY,EASY
radio-FBL-20210920T012717-60,1,0.63247362983453,0.815700463815927,0.460098981853327,0.141490726700105,1,0.63247362983453,EASY,HARD
radio-FBL-20211013T160052-60,0.974388245475134,0.974388245475134,0.974388245475134,0.984294157721272,0.996059730073097,0.996059730073097,0.974388245475134,EASY,EASY
radio-FBL-20220808T092729-60,1,0.592967084221749,1,0.45362473347548,0.0649986673773985,1,0.592967084221749,EASY,HARD
radio-FBL-20220811T220700-60,1,1,1,0.945010081485061,0.0211794504340873,1,1,EASY,EASY
radio-FBL-20220913T090844-60,0.973466154322449,0.973466154322449,0.973466154322449,0.975687931379869,0.974522408989091,0.975687931379869,0.973466154322449,EASY,EASY
radio-FBL-20221003T011904-60,1,1,1,0.685057739414441,0.0793354551665528,1,1,EASY,EASY
radio-FBL-20221103T083109-60,0.983949127200014,0.983949127200014,0.983949127200014,0.990092053827169,0.996018807083281,0.996018807083281,0.983949127200014,EASY,EASY
radio-FBL-20221223T105429-60,1,0.628958649247638,0.96567296885667,0.465098065354685,0.0668377464131576,1,0.628958649247638,EASY,HARD
radio-FCR-20210309T031913-60,0.836948079106172,0.917800631335763,0.782816530264014,0.959072713150505,0.91103543048336,0.959072713150505,0.91103543048336,MEDIUM,EASY
