index,file_id,annotator_id
167,radio-FBL-011904,2
237,radio-FBL-012717,2
80,radio-FBL-025455,1
18,radio-FBL-035452,1
102,radio-FBL-044522,1
108,radio-FBL-051706,1
87,radio-FBL-083109,1
67,radio-FBL-090844,1
149,radio-FBL-092729,2
134,radio-FBL-105429,2
278,radio-FBL-132313,2
135,radio-FBL-150454,2
175,radio-FBL-160052,2
137,radio-FBL-174018,2
116,radio-FBL-205100,1
157,radio-FBL-220700,2
66,radio-FBL-220712,1
247,radio-FBL-234419,2
174,radio-FCR-031913,2
127,radio-FCR-032010,2
178,radio-FCR-074934,2
189,radio-FCR-083707,2
45,radio-FCR-102514,1
3,radio-FCR-115618,1
0,radio-FCR-171139,1
257,radio-FCR-214556,2
138,radio-FCR-225430,2
158,radio-FIF-033339,2
63,radio-FIF-103502,1
4,radio-FIF-111258,1
103,radio-FIF-120453,1
216,radio-FIF-121714,2
170,radio-FIF-140426,2
176,radio-FIF-141149,2
236,radio-FIF-143447,2
145,radio-FIF-145356,2
258,radio-FIF-164413,2
219,radio-FIF-175908,2
280,radio-FIF-180928,2
212,radio-FIF-184016,2
186,radio-FIF-221229,2
141,radio-FIF-222221,2
161,radio-FIF-223325,2
225,radio-FIP-063229,2
207,radio-FIP-065712,2
221,radio-FIP-110726,2
279,radio-FIP-174614,2
109,radio-FIP-180932,1
32,radio-FIP-220055,1
100,radio-FIP-222530,1
159,radio-FIP-232113,2
78,radio-FIT-013224,1
117,radio-FIT-020307,1
60,radio-FIT-022227,1
93,radio-FIT-041739,1
244,radio-FIT-061831,2
179,radio-FIT-130412,2
275,radio-FIT-141155,2
6,radio-FIT-142945,1
20,radio-FIT-193651,1
210,radio-FIT-202337,2
119,radio-FIT-230305,1
111,radio-FMU-000842,1
49,radio-FMU-050837,1
164,radio-FMU-051309,2
201,radio-FMU-051454,2
168,radio-FMU-101443,2
98,radio-FMU-121018,1
105,radio-FMU-122555,1
33,radio-FMU-124550,1
263,radio-FMU-135816,2
35,radio-FMU-144831,1
147,radio-FMU-154738,2
23,radio-FMU-181337,1
227,radio-FMU-182133,2
281,radio-FMU-195602,2
53,radio-FMU-204117,1
232,radio-FMU-224627,2
79,radio-FUN-013906,1
84,radio-FUN-072856,1
70,radio-FUN-122734,1
81,radio-FUN-162242,1
242,radio-MUV-013043,2
99,radio-MUV-031209,1
68,radio-MUV-061408,1
148,radio-MUV-074146,2
229,radio-MUV-090958,2
252,radio-MUV-091537,2
282,radio-MUV-101431,2
239,radio-MUV-103937,2
260,radio-MUV-110303,2
256,radio-MUV-112050,2
10,radio-MUV-152706,1
123,radio-MUV-203547,2
169,radio-MUV-204427,2
195,radio-MUV-210509,2
274,radio-RMC-001824,2
65,radio-RMC-030205,1
246,radio-RMC-064441,2
51,radio-RMC-094259,1
38,radio-RMC-114358,1
57,radio-RMC-144937,1
44,radio-RMC-154221,1
202,radio-RMC-161225,2
136,radio-RMC-190319,2
131,radio-RMC-191036,2
1,radio-RMC-212532,1
185,radio-RTL-022438,2
269,radio-RTL-084520,2
120,radio-RTL-133218,2
43,radio-RTL-170615,1
128,radio-RTL-193856,2
58,radio-SKY-010856,1
12,radio-SKY-172758,1
7,tv-ART-072411,1
115,tv-ART-093525,1
214,tv-ART-094118,2
152,tv-ART-094745,2
124,tv-ART-104726,2
241,tv-ART-152238,2
196,tv-ART-174303,2
190,tv-ART-183717,2
16,tv-ART-223617,1
154,tv-BFT-020755,2
262,tv-BFT-050719,2
86,tv-BFT-050937,1
28,tv-BFT-075249,1
264,tv-BFT-161228,2
121,tv-BFT-162139,2
249,tv-BFT-165932,2
211,tv-BFT-170057,2
47,tv-BFT-183240,1
283,tv-BFT-183616,2
156,tv-C+N-005054,2
183,tv-C+N-023637,2
284,tv-C+N-035413,2
150,tv-C+N-060402,2
173,tv-C+N-065324,2
215,tv-C+N-070441,2
172,tv-C+N-071121,2
31,tv-C+N-072654,1
273,tv-C+N-081613,2
130,tv-C+N-091809,2
76,tv-C+N-100141,1
187,tv-C+N-104137,2
155,tv-C+N-121520,2
52,tv-C+N-131454,1
9,tv-C+N-184644,1
243,tv-C+N-191413,2
266,tv-C+N-213735,2
59,tv-C+N-224733,1
114,tv-C+N-231002,1
197,tv-C+N-234951,2
204,tv-C+_-054514,2
55,tv-C+_-083705,1
89,tv-C+_-112835,1
96,tv-C+_-134103,1
15,tv-C+_-141814,1
188,tv-C+_-165141,2
193,tv-C+_-175655,2
199,tv-C+_-181000,2
75,tv-C+_-190401,1
62,tv-C+_-203351,1
107,tv-C+_-204601,1
220,tv-C+_-220437,2
110,tv-C25-032841,1
177,tv-F24-042912,2
255,tv-F24-045809,2
250,tv-F24-055841,2
85,tv-F24-072937,1
233,tv-F24-075121,2
231,tv-F24-080416,2
160,tv-F24-081209,2
253,tv-F24-101322,2
61,tv-F24-115128,1
268,tv-F24-125747,2
22,tv-F24-145503,1
234,tv-F24-182237,2
29,tv-F24-183254,1
254,tv-F24-212253,2
251,tv-F24-234914,2
132,tv-F24-235242,2
165,tv-FR2-012411,2
142,tv-FR2-050843,2
27,tv-FR2-070013,1
88,tv-FR2-081050,1
223,tv-FR2-151739,2
166,tv-FR2-161917,2
151,tv-FR2-190223,2
245,tv-FR2-193711,2
13,tv-FR3-003727,1
69,tv-FR3-045538,1
208,tv-FR3-065106,2
90,tv-FR3-124503,1
101,tv-FR3-140145,1
205,tv-FR3-145020,2
180,tv-FR3-151256,2
24,tv-FR3-190726,1
182,tv-FR3-223745,2
95,tv-FR4-001205,1
144,tv-FR4-005308,2
181,tv-FR4-034901,2
277,tv-FR4-034920,2
91,tv-FR4-042505,1
64,tv-FR4-082425,1
184,tv-FR4-093405,2
206,tv-FR4-100835,2
37,tv-FR4-101704,1
129,tv-FR4-133239,2
82,tv-FR4-172732,1
270,tv-FR4-183020,2
104,tv-FR4-203357,1
126,tv-FR4-203954,2
21,tv-FR4-215612,1
271,tv-FR5-081326,2
235,tv-FR5-102414,2
140,tv-FR5-120828,2
248,tv-FR5-140935,2
133,tv-FR5-151958,2
153,tv-FR5-155103,2
94,tv-FR5-222424,1
30,tv-GUL-154214,1
222,tv-LCI-022702,2
194,tv-LCI-030611,2
118,tv-LCI-050538,1
272,tv-LCI-061740,2
14,tv-LCI-072215,1
162,tv-LCI-100827,2
122,tv-LCI-142245,2
74,tv-LCI-145713,1
265,tv-LCI-153206,2
125,tv-LCI-161025,2
259,tv-LCI-174051,2
36,tv-LCI-180921,1
46,tv-LCI-200518,1
203,tv-LCI-200527,2
40,tv-LCI-202813,1
213,tv-LCI-213519,2
112,tv-M6_-002520,1
228,tv-M6_-041900,2
276,tv-M6_-075818,2
113,tv-M6_-132707,1
171,tv-M6_-142753,2
48,tv-M6_-162155,1
50,tv-M6_-165521,1
226,tv-M6_-173630,2
218,tv-M6_-193323,2
8,tv-M6_-223613,1
163,tv-M6_-231052,2
106,tv-N12-132328,1
83,tv-N12-182632,1
73,tv-N12-195609,1
77,tv-PP_-093859,1
217,tv-T5M-012133,2
56,tv-T5M-040130,1
230,tv-T5M-061236,2
224,tv-T5M-072520,2
25,tv-T5M-073851,1
209,tv-T5M-144346,2
72,tv-T5M-210834,1
192,tv-T5M-211131,2
143,tv-T5M-220844,2
267,tv-T5M-221506,2
139,tv-T5M-224001,2
54,tv-T5M-230247,1
19,tv-T5M-232204,1
17,tv-T5M-235452,1
42,tv-TF1-012319,1
198,tv-TF1-021706,2
92,tv-TF1-030233,1
26,tv-TF1-031751,1
97,tv-TF1-083840,1
146,tv-TF1-101331,2
71,tv-TF1-110550,1
200,tv-TF1-131538,2
240,tv-TF1-133551,2
191,tv-TF1-162736,2
11,tv-TF1-183922,1
5,tv-TF1-190336,1
2,tv-TF1-194413,1
261,tv-TF1-215118,2
238,tv-TF1-225026,2
34,tv-TFX-050203,1
39,tv-TFX-230837,1
41,tv-TFX-231251,1
