label,start,stop
male,0.0,3.38
noEnergy,3.38,3.86
male,3.86,5.46
noEnergy,5.46,6.54
male,6.54,9.7
noEnergy,9.7,10.72
male,10.72,17.1
noEnergy,17.1,18.4
noise,18.4,18.72
noEnergy,18.72,19.22
male,19.22,22.12
noEnergy,22.12,23.54
male,23.54,32.06
noEnergy,32.06,33.58
female,33.58,35.34
noEnergy,35.34,36.66
male,36.66,38.74
noEnergy,38.74,40.2
male,40.2,45.16
noEnergy,45.16,45.58
female,45.58,48.58
noEnergy,48.58,49.5
male,49.5,50.42
noEnergy,50.42,53.1
male,53.1,55.9
noEnergy,55.9,56.46
male,56.46,61.88
