label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
FA,0.0,2.445,speech,False,female,adult,standard,,,,,,,,,,
,2.445,2.813,nonspeech,False,,,,,,,,,,,,,True
FA,2.813,7.134,speech,False,female,adult,standard,,,,,,,,,,
RE,7.134,7.537,nonspeech,False,,,,,,,,,,True,,,
FA,7.537,13.523,speech,False,female,adult,standard,,,,,,,,,,
RE,13.523,13.929,nonspeech,False,,,,,,,,,,True,,,
FA,13.929,17.849,speech,False,female,adult,standard,,,,,,,,,,
MU2,17.849,18.202,nonspeech,False,,,,,,,,,True,,,,
FA,18.202,21.168,speech,False,female,adult,standard,,,,,,,,,,
MU2,21.168,21.626,nonspeech,False,,,,,,,,,True,,,,
FA,21.626,24.819,speech,False,female,adult,standard,,,,,,,,,,
MU2,24.819,25.246,nonspeech,False,,,,,,,,,True,,,,
FA,25.246,28.672,speech,False,female,adult,standard,,,,,,,,,,
,28.672,29.083,nonspeech,False,,,,,,,,,,,,,True
FA,29.083,30.303,speech,False,female,adult,standard,,,,,,,,,,
MU2,30.303,30.853,nonspeech,False,,,,,,,,,True,,,,
FA,30.853,34.306,speech,False,female,adult,standard,,,,,,,,,,
MU2,34.306,34.728,nonspeech,False,,,,,,,,,True,,,,
FA,34.728,44.277,speech,False,female,adult,standard,,,,,,,,,,
,44.277,44.609,nonspeech,False,,,,,,,,,,,,,True
FA,44.609,49.078,speech,False,female,adult,standard,,,,,,,,,,
BR,49.078,49.542,nonspeech,False,,,,,True,,,,,,,,
FA,49.542,56.324,speech,False,female,adult,standard,,,,,,,,,,
,56.324,56.678,nonspeech,False,,,,,,,,,,,,,True
FA,56.678,60.032,speech,False,female,adult,standard,,,,,,,,,,
