label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HA,0.0,1.326,speech,False,male,adult,standard,,,,,,,,,,
MU2,1.326,1.712,nonspeech,False,,,,,,,,,True,,,,
HA,1.712,3.051,speech,False,male,adult,standard,,,,,,,,,,
MU2,3.051,3.746,nonspeech,False,,,,,,,,,True,,,,
HA,3.746,6.354,speech,False,male,adult,standard,,,,,,,,,,
MU2,6.354,6.797,nonspeech,False,,,,,,,,,True,,,,
HA,6.797,7.856,speech,False,male,adult,standard,,,,,,,,,,
MU2,7.856,10.037,nonspeech,False,,,,,,,,,True,,,,
HA,10.037,10.691,speech,False,male,adult,standard,,,,,,,,,,
BR,10.691,11.365,nonspeech,False,,,,,True,,,,,,,,
HA,11.365,12.353,speech,False,male,adult,standard,,,,,,,,,,
,12.353,12.929,nonspeech,False,,,,,,,,,,,,,True
HA,12.929,14.846,speech,False,male,adult,standard,,,,,,,,,,
RE,14.846,15.253,nonspeech,False,,,,,,,,,,True,,,
HA,15.253,16.85,speech,False,male,adult,standard,,,,,,,,,,
,16.85,17.158,nonspeech,False,,,,,,,,,,,,,True
HA,17.158,18.349,speech,False,male,adult,standard,,,,,,,,,,
RE,18.349,18.821,nonspeech,False,,,,,,,,,,True,,,
HA,18.821,20.923,speech,False,male,adult,standard,,,,,,,,,,
,20.923,21.613,nonspeech,False,,,,,,,,,,,,,True
HA,21.613,24.558,speech,False,male,adult,standard,,,,,,,,,,
RE,24.558,24.99,nonspeech,False,,,,,,,,,,True,,,
HA,24.99,29.112,speech,False,male,adult,standard,,,,,,,,,,
,29.112,29.818,nonspeech,False,,,,,,,,,,,,,True
FA,29.818,31.119,speech,False,female,adult,standard,,,,,,,,,,
,31.119,32.499,nonspeech,False,,,,,,,,,,,,,True
HA,32.499,34.149,speech,False,male,adult,standard,,,,,,,,,,
RE,34.149,34.554,nonspeech,False,,,,,,,,,,True,,,
HA,34.554,36.557,speech,False,male,adult,standard,,,,,,,,,,
RE,36.557,37.592,nonspeech,False,,,,,,,,,,True,,,
HA,37.592,41.549,speech,False,male,adult,standard,,,,,,,,,,
,41.549,42.616,nonspeech,False,,,,,,,,,,,,,True
HA,42.616,45.034,speech,False,male,adult,standard,,,,,,,,,,
RE,45.034,45.63,nonspeech,False,,,,,,,,,,True,,,
HA,45.63,49.3,speech,False,male,adult,standard,,,,,,,,,,
RE,49.3,49.826,nonspeech,False,,,,,,,,,,True,,,
HA,49.826,50.805,speech,False,male,adult,standard,,,,,,,,,,
,50.805,51.904,nonspeech,False,,,,,,,,,,,,,True
HA,51.904,54.167,speech,False,male,adult,standard,,,,,,,,,,
RE,54.167,54.972,nonspeech,False,,,,,,,,,,True,,,
HA,54.972,60.032,speech,False,male,adult,standard,,,,,,,,,,
