label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
FA,0.0,1.834,speech,False,female,adult,standard,,,,,,,,,,
BR,1.834,2.118,nonspeech,False,,,,,True,,,,,,,,
FA,2.118,9.594,speech,False,female,adult,standard,,,,,,,,,,
FA-,9.594,10.148,speech,False,female,adult,onomatopoeia,,,,,,,,,,
FA,10.148,11.697,speech,False,female,adult,standard,,,,,,,,,,
FA-,11.697,12.187,speech,False,female,adult,onomatopoeia,,,,,,,,,,
FA,12.187,25.97,speech,False,female,adult,standard,,,,,,,,,,
FA-,25.97,26.649,speech,False,female,adult,onomatopoeia,,,,,,,,,,
FA,26.649,30.844,speech,False,female,adult,standard,,,,,,,,,,
FA-,30.844,31.397,speech,False,female,adult,onomatopoeia,,,,,,,,,,
FA,31.397,50.427,speech,False,female,adult,standard,,,,,,,,,,
FA-,50.427,50.995,speech,False,female,adult,onomatopoeia,,,,,,,,,,
FA,50.995,51.945,speech,False,female,adult,standard,,,,,,,,,,
FA-,51.945,52.692,speech,False,female,adult,onomatopoeia,,,,,,,,,,
FA,52.692,54.558,speech,False,female,adult,standard,,,,,,,,,,
FA-,54.558,55.221,speech,False,female,adult,onomatopoeia,,,,,,,,,,
FA,55.221,60.011,speech,False,female,adult,standard,,,,,,,,,,
