label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HA,0.0,5.522,speech,False,male,adult,standard,,,,,,,,,,
HA+FS,5.522,5.77,speech,True,undefgender,undefage,standard,,,,,,,,,,
HA,5.77,12.653,speech,False,male,adult,standard,,,,,,,,,,
RE,12.653,13.143,nonspeech,False,,,,,,,,,,True,,,
HA,13.143,15.187,speech,False,male,adult,standard,,,,,,,,,,
FS+HA-,15.187,15.672,speech,True,undefgender,undefage,undefquality,,,,,,,,,,
FS,15.672,22.708,speech,False,female,senior,standard,,,,,,,,,,
RE,22.708,23.124,nonspeech,False,,,,,,,,,,True,,,
FS,23.124,29.836,speech,False,female,senior,standard,,,,,,,,,,
FS+HA-,29.836,30.9,speech,True,undefgender,undefage,undefquality,,,,,,,,,,
FS,30.9,38.045,speech,False,female,senior,standard,,,,,,,,,,
HA,38.045,38.361,speech,False,male,adult,standard,,,,,,,,,,
FS,38.361,48.617,speech,False,female,senior,standard,,,,,,,,,,
HA+FS,48.617,51.207,speech,True,undefgender,undefage,standard,,,,,,,,,,
FS,51.207,58.146,speech,False,female,senior,standard,,,,,,,,,,
FS+HA,58.146,59.653,speech,True,undefgender,undefage,standard,,,,,,,,,,
RE,59.653,60.032,nonspeech,False,,,,,,,,,,True,,,
