label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
MU1,0.0,15.906,nonspeech,False,,,,,,,,True,,,,,
FA,15.906,19.337,speech,False,female,adult,standard,,,,,,,,,,
JI,19.337,21.166,nonspeech,False,,,,,,,True,,,,,,
FA,21.166,26.167,speech,False,female,adult,standard,,,,,,,,,,
RE,26.167,26.62,nonspeech,False,,,,,,,,,,True,,,
FA,26.62,37.839,speech,False,female,adult,standard,,,,,,,,,,
HA,37.839,39.107,speech,False,male,adult,standard,,,,,,,,,,
BR,39.107,39.95,nonspeech,False,,,,,True,,,,,,,,
FA,39.95,40.684,speech,False,female,adult,standard,,,,,,,,,,
HA+HA,40.684,42.049,speech,True,male,adult,standard,,,,,,,,,,
HA,42.049,43.803,speech,False,male,adult,standard,,,,,,,,,,
BR,43.803,44.731,nonspeech,False,,,,,True,,,,,,,,
FA,44.731,49.359,speech,False,female,adult,standard,,,,,,,,,,
RI,49.359,49.801,nonspeech,False,,,,,,,,,,,True,,
HA,49.801,52.584,speech,False,male,adult,standard,,,,,,,,,,
RE,52.584,52.969,nonspeech,False,,,,,,,,,,True,,,
HA,52.969,54.17,speech,False,male,adult,standard,,,,,,,,,,
FA,54.17,57.772,speech,False,female,adult,standard,,,,,,,,,,
HA+FA,57.772,58.789,speech,True,undefgender,adult,standard,,,,,,,,,,
BR,58.789,59.189,nonspeech,False,,,,,True,,,,,,,,
HA,59.189,60.032,speech,False,male,adult,standard,,,,,,,,,,
