label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
JI,0.0,2.719,nonspeech,False,,,,,,,True,,,,,,
HA,2.719,6.591,speech,False,male,adult,standard,,,,,,,,,,
FS,6.591,13.103,speech,False,female,senior,standard,,,,,,,,,,
FS-,13.103,13.577,speech,False,female,senior,onomatopoeia,,,,,,,,,,
FS,13.577,20.939,speech,False,female,senior,standard,,,,,,,,,,
FS-,20.939,21.523,speech,False,female,senior,onomatopoeia,,,,,,,,,,
FS,21.523,25.744,speech,False,female,senior,standard,,,,,,,,,,
HA,25.744,45.271,speech,False,male,adult,standard,,,,,,,,,,
FS,45.271,46.955,speech,False,female,senior,standard,,,,,,,,,,
HA,46.955,50.51,speech,False,male,adult,standard,,,,,,,,,,
FA,50.51,52.54,speech,False,female,adult,standard,,,,,,,,,,
JI,52.54,54.068,nonspeech,False,,,,,,,True,,,,,,
FA,54.068,60.011,speech,False,female,adult,standard,,,,,,,,,,
