label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
IA,0.0,0.105,speech,False,undefgender,adult,standard,,,,,,,,,,
MU2,0.105,17.926,nonspeech,False,,,,,,,,,True,,,,
HA-,17.926,18.543,speech,False,male,adult,onomatopoeia,,,,,,,,,,
MU2,18.543,19.586,nonspeech,False,,,,,,,,,True,,,,
HA-,19.586,20.071,speech,False,male,adult,onomatopoeia,,,,,,,,,,
MU2,20.071,21.762,nonspeech,False,,,,,,,,,True,,,,
AP,21.762,28.874,nonspeech,False,,,,True,,,,,,,,,
HA,28.874,32.917,speech,False,male,adult,standard,,,,,,,,,,
HA+HA,32.917,37.241,speech,True,male,adult,standard,,,,,,,,,,
,37.241,37.634,nonspeech,False,,,,,,,,,,,,,True
HA+HA,37.634,42.155,speech,True,male,adult,standard,,,,,,,,,,
HA,42.155,43.836,speech,False,male,adult,standard,,,,,,,,,,
HA+HA,43.836,47.021,speech,True,male,adult,standard,,,,,,,,,,
HA,47.021,49.998,speech,False,male,adult,standard,,,,,,,,,,
,49.998,50.462,nonspeech,False,,,,,,,,,,,,,True
HA,50.462,51.089,speech,False,male,adult,standard,,,,,,,,,,
AP,51.089,52.375,nonspeech,False,,,,True,,,,,,,,,
HA,52.375,54.239,speech,False,male,adult,standard,,,,,,,,,,
AP,54.239,55.562,nonspeech,False,,,,True,,,,,,,,,
HA,55.562,57.274,speech,False,male,adult,standard,,,,,,,,,,
BR,57.274,58.012,nonspeech,False,,,,,True,,,,,,,,
HA,58.012,58.928,speech,False,male,adult,standard,,,,,,,,,,
,58.928,59.624,nonspeech,False,,,,,,,,,,,,,True
HA,59.624,60.425,speech,False,male,adult,standard,,,,,,,,,,
,60.425,61.162,nonspeech,False,,,,,,,,,,,,,True
HA,61.162,61.568,speech,False,male,adult,standard,,,,,,,,,,
