label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HA,0.0,1.344,speech,False,male,adult,standard,,,,,,,,,,
,1.344,1.675,nonspeech,False,,,,,,,,,,,,,True
HA,1.675,2.613,speech,False,male,adult,standard,,,,,,,,,,
BR,2.613,5.896,nonspeech,False,,,,,True,,,,,,,,
HA,5.896,7.129,speech,False,male,adult,standard,,,,,,,,,,
,7.129,7.682,nonspeech,False,,,,,,,,,,,,,True
HA,7.682,10.468,speech,False,male,adult,standard,,,,,,,,,,
,10.468,10.954,nonspeech,False,,,,,,,,,,,,,True
BR,10.954,12.487,nonspeech,False,,,,,True,,,,,,,,
HA,12.487,13.34,speech,False,male,adult,standard,,,,,,,,,,
BR,13.34,14.494,nonspeech,False,,,,,True,,,,,,,,
HA,14.494,15.443,speech,False,male,adult,standard,,,,,,,,,,
HA,15.443,18.651,speech,False,male,adult,standard,,,,,,,,,,
BR,18.651,19.062,nonspeech,False,,,,,True,,,,,,,,
HA,19.062,20.753,speech,False,male,adult,standard,,,,,,,,,,
BR,20.753,21.164,nonspeech,False,,,,,True,,,,,,,,
HA,21.164,22.413,speech,False,male,adult,standard,,,,,,,,,,
BR,22.413,24.91,nonspeech,False,,,,,True,,,,,,,,
HA,24.91,25.369,speech,False,male,adult,standard,,,,,,,,,,
BR,25.369,26.487,nonspeech,False,,,,,True,,,,,,,,
HA,26.487,27.597,speech,False,male,adult,standard,,,,,,,,,,
BR,27.597,28.781,nonspeech,False,,,,,True,,,,,,,,
HA,28.781,30.475,speech,False,male,adult,standard,,,,,,,,,,
,30.475,31.073,nonspeech,False,,,,,,,,,,,,,True
HA,31.073,33.307,speech,False,male,adult,standard,,,,,,,,,,
,33.307,33.987,nonspeech,False,,,,,,,,,,,,,True
HA,33.987,37.043,speech,False,male,adult,standard,,,,,,,,,,
,37.043,37.47,nonspeech,False,,,,,,,,,,,,,True
HA,37.47,38.766,speech,False,male,adult,standard,,,,,,,,,,
BR,38.766,39.102,nonspeech,False,,,,,True,,,,,,,,
HA,39.102,39.999,speech,False,male,adult,standard,,,,,,,,,,
,39.999,40.442,nonspeech,False,,,,,,,,,,,,,True
BR,40.442,40.815,nonspeech,False,,,,,True,,,,,,,,
HA,40.815,43.54,speech,False,male,adult,standard,,,,,,,,,,
,43.54,44.315,nonspeech,False,,,,,,,,,,,,,True
HA,44.315,45.156,speech,False,male,adult,standard,,,,,,,,,,
,45.156,45.52,nonspeech,False,,,,,,,,,,,,,True
HA,45.52,47.986,speech,False,male,adult,standard,,,,,,,,,,
,47.986,48.871,nonspeech,False,,,,,,,,,,,,,True
HA,48.871,52.802,speech,False,male,adult,standard,,,,,,,,,,
,52.802,53.513,nonspeech,False,,,,,,,,,,,,,True
HA,53.513,55.173,speech,False,male,adult,standard,,,,,,,,,,
,55.173,55.71,nonspeech,False,,,,,,,,,,,,,True
HA,55.71,57.465,speech,False,male,adult,standard,,,,,,,,,,
,57.465,58.034,nonspeech,False,,,,,,,,,,,,,True
HA,58.034,61.184,speech,False,male,adult,standard,,,,,,,,,,
,61.184,61.642,nonspeech,False,,,,,,,,,,,,,True
HA,61.642,62.037,speech,False,male,adult,standard,,,,,,,,,,
