label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HA+HA,0.0,0.622,speech,True,male,adult,standard,,,,,,,,,,
BR,0.622,1.322,nonspeech,False,,,,,True,,,,,,,,
HA+HA,1.322,2.218,speech,True,male,adult,standard,,,,,,,,,,
,2.218,2.545,nonspeech,False,,,,,,,,,,,,,True
HA+HA,2.545,3.899,speech,True,male,adult,standard,,,,,,,,,,
BR,3.899,4.183,nonspeech,False,,,,,True,,,,,,,,
HA+HA,4.183,11.538,speech,True,male,adult,standard,,,,,,,,,,
,11.538,11.98,nonspeech,False,,,,,,,,,,,,,True
HA+HA,11.98,17.141,speech,True,male,adult,standard,,,,,,,,,,
,17.141,17.408,nonspeech,False,,,,,,,,,,,,,True
HA+HA,17.408,20.105,speech,True,male,adult,standard,,,,,,,,,,
BR,20.105,20.484,nonspeech,False,,,,,True,,,,,,,,
HA,20.484,21.724,speech,False,male,adult,standard,,,,,,,,,,
BR,21.724,22.983,nonspeech,False,,,,,True,,,,,,,,
HA+HA,22.983,29.746,speech,True,male,adult,standard,,,,,,,,,,
BR,29.746,30.049,nonspeech,False,,,,,True,,,,,,,,
HA,30.049,31.143,speech,False,male,adult,standard,,,,,,,,,,
BR,31.143,31.507,nonspeech,False,,,,,True,,,,,,,,
HA,31.507,37.978,speech,False,male,adult,standard,,,,,,,,,,
RE,37.978,38.362,nonspeech,False,,,,,,,,,,True,,,
HA,38.362,39.031,speech,False,male,adult,standard,,,,,,,,,,
RE,39.031,39.511,nonspeech,False,,,,,,,,,,True,,,
HA,39.511,42.064,speech,False,male,adult,standard,,,,,,,,,,
,42.064,42.411,nonspeech,False,,,,,,,,,,,,,True
HA,42.411,43.439,speech,False,male,adult,standard,,,,,,,,,,
RE,43.439,43.771,nonspeech,False,,,,,,,,,,True,,,
HA,43.771,49.603,speech,False,male,adult,standard,,,,,,,,,,
BR,49.603,50.088,nonspeech,False,,,,,True,,,,,,,,
HA,50.088,61.603,speech,False,male,adult,standard,,,,,,,,,,
BR,61.603,61.973,nonspeech,False,,,,,True,,,,,,,,
