label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
MU2,0.0,0.3,nonspeech,False,,,,,,,,,True,,,,
HA,0.3,1.776,speech,False,male,adult,standard,,,,,,,,,,
MU2,1.776,3.558,nonspeech,False,,,,,,,,,True,,,,
HA,3.558,4.012,speech,False,male,adult,standard,,,,,,,,,,
MU2,4.012,6.073,nonspeech,False,,,,,,,,,True,,,,
HA,6.073,6.422,speech,False,male,adult,standard,,,,,,,,,,
,6.422,7.888,nonspeech,False,,,,,,,,,,,,,True
HA,7.888,8.563,speech,False,male,adult,standard,,,,,,,,,,
MU2,8.563,9.987,nonspeech,False,,,,,,,,,True,,,,
HA,9.987,11.116,speech,False,male,adult,standard,,,,,,,,,,
MU2,11.116,13.978,nonspeech,False,,,,,,,,,True,,,,
BR,13.978,14.664,nonspeech,False,,,,,True,,,,,,,,
MU2+BR,14.664,27.106,nonspeech,True,,,,,True,,,,True,,,,
HA,27.106,29.378,speech,False,male,adult,standard,,,,,,,,,,
FA,29.378,30.343,speech,False,female,adult,standard,,,,,,,,,,
MU2+BR,30.343,32.81,nonspeech,True,,,,,True,,,,True,,,,
HA,32.81,34.576,speech,False,male,adult,standard,,,,,,,,,,
FA,34.576,35.805,speech,False,female,adult,standard,,,,,,,,,,
HA,35.805,36.533,speech,False,male,adult,standard,,,,,,,,,,
MU2+BR,36.533,54.521,nonspeech,True,,,,,True,,,,True,,,,
HA,54.521,55.649,speech,False,male,adult,standard,,,,,,,,,,
MU2+BR,55.649,58.499,nonspeech,True,,,,,True,,,,True,,,,
FA,58.499,59.031,speech,False,female,adult,standard,,,,,,,,,,
MU2,59.031,60.501,nonspeech,False,,,,,,,,,True,,,,
