label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
FS,0.0,3.967,speech,False,female,senior,standard,,,,,,,,,,
,3.967,4.173,nonspeech,False,,,,,,,,,,,,,True
MU2,4.173,4.579,nonspeech,False,,,,,,,,,True,,,,
FS,4.579,5.174,speech,False,female,senior,standard,,,,,,,,,,
MU2,5.174,6.064,nonspeech,False,,,,,,,,,True,,,,
FS,6.064,8.888,speech,False,female,senior,standard,,,,,,,,,,
MU1,8.888,11.908,nonspeech,False,,,,,,,,True,,,,,
,11.908,12.219,nonspeech,False,,,,,,,,,,,,,True
MU1,12.219,22.169,nonspeech,False,,,,,,,,True,,,,,
FA,22.169,26.396,speech,False,female,adult,standard,,,,,,,,,,
MU1,26.396,28.24,nonspeech,False,,,,,,,,True,,,,,
BR,28.24,28.746,nonspeech,False,,,,,True,,,,,,,,
HA*,28.746,29.737,speech,False,male,adult,atypical,,,,,,,,,,
FA,29.737,31.638,speech,False,female,adult,standard,,,,,,,,,,
MU2,31.638,32.611,nonspeech,False,,,,,,,,,True,,,,
HA,32.611,34.418,speech,False,male,adult,standard,,,,,,,,,,
FA,34.418,37.021,speech,False,female,adult,standard,,,,,,,,,,
MU2,37.021,37.334,nonspeech,False,,,,,,,,,True,,,,
HA,37.334,39.556,speech,False,male,adult,standard,,,,,,,,,,
MU2,39.556,40.11,nonspeech,False,,,,,,,,,True,,,,
HA,40.11,46.986,speech,False,male,adult,standard,,,,,,,,,,
FA,46.986,47.861,speech,False,female,adult,standard,,,,,,,,,,
MU2,47.861,48.173,nonspeech,False,,,,,,,,,True,,,,
FA,48.173,51.427,speech,False,female,adult,standard,,,,,,,,,,
MU2,51.427,51.948,nonspeech,False,,,,,,,,,True,,,,
FA,51.948,58.221,speech,False,female,adult,standard,,,,,,,,,,
MU2,58.221,58.522,nonspeech,False,,,,,,,,,True,,,,
FA,58.522,61.056,speech,False,female,adult,standard,,,,,,,,,,
