label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
FA,0.0,3.762,speech,False,female,adult,standard,,,,,,,,,,
RE,3.762,4.241,nonspeech,False,,,,,,,,,,True,,,
FA,4.241,8.593,speech,False,female,adult,standard,,,,,,,,,,
,8.593,9.484,nonspeech,False,,,,,,,,,,,,,True
HA,9.484,13.304,speech,False,male,adult,standard,,,,,,,,,,
RE,13.304,13.768,nonspeech,False,,,,,,,,,,True,,,
HA,13.768,16.007,speech,False,male,adult,standard,,,,,,,,,,
FA,16.007,17.43,speech,False,female,adult,standard,,,,,,,,,,
,17.43,17.936,nonspeech,False,,,,,,,,,,,,,True
FA,17.936,20.37,speech,False,female,adult,standard,,,,,,,,,,
,20.37,20.975,nonspeech,False,,,,,,,,,,,,,True
FA,20.975,24.737,speech,False,female,adult,standard,,,,,,,,,,
,24.737,25.501,nonspeech,False,,,,,,,,,,,,,True
FA,25.501,31.814,speech,False,female,adult,standard,,,,,,,,,,
,31.814,32.172,nonspeech,False,,,,,,,,,,,,,True
FA,32.172,34.274,speech,False,female,adult,standard,,,,,,,,,,
,34.274,34.68,nonspeech,False,,,,,,,,,,,,,True
FA,34.68,36.259,speech,False,female,adult,standard,,,,,,,,,,
,36.259,36.714,nonspeech,False,,,,,,,,,,,,,True
FA,36.714,38.6,speech,False,female,adult,standard,,,,,,,,,,
HA,38.6,42.567,speech,False,male,adult,standard,,,,,,,,,,
RE,42.567,42.962,nonspeech,False,,,,,,,,,,True,,,
HA,42.962,50.688,speech,False,male,adult,standard,,,,,,,,,,
,50.688,51.082,nonspeech,False,,,,,,,,,,,,,True
FA,51.082,54.939,speech,False,female,adult,standard,,,,,,,,,,
,54.939,55.556,nonspeech,False,,,,,,,,,,,,,True
FA,55.556,61.312,speech,False,female,adult,standard,,,,,,,,,,
