label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
RI,0.0,0.77,nonspeech,False,,,,,,,,,,,True,,
HA,0.77,2.845,speech,False,male,adult,standard,,,,,,,,,,
RI,2.845,6.663,nonspeech,False,,,,,,,,,,,True,,
BH,6.663,7.381,nonspeech,False,,,,,,True,,,,,,,
HA+HA,7.381,10.906,speech,True,male,adult,standard,,,,,,,,,,
RI,10.906,11.665,nonspeech,False,,,,,,,,,,,True,,
HA+HA,11.665,16.027,speech,True,male,adult,standard,,,,,,,,,,
RI,16.027,17.908,nonspeech,False,,,,,,,,,,,True,,
BH,17.908,19.868,nonspeech,False,,,,,,True,,,,,,,
FA+FA,19.868,22.429,speech,True,female,adult,standard,,,,,,,,,,
BR,22.429,23.519,nonspeech,False,,,,,True,,,,,,,,
HA+HA,23.519,24.847,speech,True,male,adult,standard,,,,,,,,,,
RI,24.847,25.938,nonspeech,False,,,,,,,,,,,True,,
BH,25.938,27.451,nonspeech,False,,,,,,True,,,,,,,
RI,27.451,28.53,nonspeech,False,,,,,,,,,,,True,,
AU,28.53,29.573,nonspeech,False,,,,,,,,,,,,True,
HA+HA,29.573,31.194,speech,True,male,adult,standard,,,,,,,,,,
HA,31.194,31.905,speech,False,male,adult,standard,,,,,,,,,,
RI,31.905,33.596,nonspeech,False,,,,,,,,,,,True,,
BR,33.596,33.944,nonspeech,False,,,,,True,,,,,,,,
HA+HA,33.944,35.893,speech,True,male,adult,standard,,,,,,,,,,
RI,35.893,36.898,nonspeech,False,,,,,,,,,,,True,,
HA+HA,36.898,38.895,speech,True,male,adult,standard,,,,,,,,,,
RI,38.895,41.107,nonspeech,False,,,,,,,,,,,True,,
HA,41.107,42.837,speech,False,male,adult,standard,,,,,,,,,,
HA+HA,42.837,44.148,speech,True,male,adult,standard,,,,,,,,,,
RI,44.148,44.925,nonspeech,False,,,,,,,,,,,True,,
HA+HA,44.925,46.658,speech,True,male,adult,standard,,,,,,,,,,
,46.658,47.08,nonspeech,False,,,,,,,,,,,,,True
HA+HA,47.08,50.587,speech,True,male,adult,standard,,,,,,,,,,
BR,50.587,51.161,nonspeech,False,,,,,True,,,,,,,,
BH,51.161,52.091,nonspeech,False,,,,,,True,,,,,,,
HA+HA,52.091,53.936,speech,True,male,adult,standard,,,,,,,,,,
,53.936,54.903,nonspeech,False,,,,,,,,,,,,,True
HA+HA,54.903,56.164,speech,True,male,adult,standard,,,,,,,,,,
,56.164,56.834,nonspeech,False,,,,,,,,,,,,,True
BR,56.834,57.082,nonspeech,False,,,,,True,,,,,,,,
,57.082,57.395,nonspeech,False,,,,,,,,,,,,,True
FA+FA,57.395,58.264,speech,True,female,adult,standard,,,,,,,,,,
,58.264,59.089,nonspeech,False,,,,,,,,,,,,,True
BR,59.089,59.487,nonspeech,False,,,,,True,,,,,,,,
HA+HA,59.487,60.704,speech,True,male,adult,standard,,,,,,,,,,
BR,60.704,61.173,nonspeech,False,,,,,True,,,,,,,,
AU,61.173,61.568,nonspeech,False,,,,,,,,,,,,True,
