label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
BR,0.0,5.3,nonspeech,False,,,,,True,,,,,,,,
IA,5.3,5.58,speech,False,undefgender,adult,standard,,,,,,,,,,
MU2,5.58,6.108,nonspeech,False,,,,,,,,,True,,,,
IE,6.108,6.369,speech,False,undefgender,child,standard,,,,,,,,,,
FA,6.369,7.45,speech,False,female,adult,standard,,,,,,,,,,
IE,7.45,7.782,speech,False,undefgender,child,standard,,,,,,,,,,
MU2,7.782,9.601,nonspeech,False,,,,,,,,,True,,,,
BR,9.601,9.813,nonspeech,False,,,,,True,,,,,,,,
IE-,9.813,9.987,speech,False,undefgender,child,onomatopoeia,,,,,,,,,,
BR,9.987,10.647,nonspeech,False,,,,,True,,,,,,,,
FA,10.647,12.608,speech,False,female,adult,standard,,,,,,,,,,
BR,12.608,13.478,nonspeech,False,,,,,True,,,,,,,,
MU2,13.478,14.49,nonspeech,False,,,,,,,,,True,,,,
AU,14.49,15.677,nonspeech,False,,,,,,,,,,,,True,
BH,15.677,16.273,nonspeech,False,,,,,,True,,,,,,,
FA,16.273,17.258,speech,False,female,adult,standard,,,,,,,,,,
BR,17.258,17.538,nonspeech,False,,,,,True,,,,,,,,
MU2,17.538,18.893,nonspeech,False,,,,,,,,,True,,,,
BR,18.893,20.544,nonspeech,False,,,,,True,,,,,,,,
BH,20.544,22.086,nonspeech,False,,,,,,True,,,,,,,
AU,22.086,23.83,nonspeech,False,,,,,,,,,,,,True,
IE,23.83,25.532,speech,False,undefgender,child,standard,,,,,,,,,,
BR,25.532,26.455,nonspeech,False,,,,,True,,,,,,,,
IE,26.455,27.995,speech,False,undefgender,child,standard,,,,,,,,,,
BR,27.995,28.396,nonspeech,False,,,,,True,,,,,,,,
IE-,28.396,29.114,speech,False,undefgender,child,onomatopoeia,,,,,,,,,,
BR,29.114,31.031,nonspeech,False,,,,,True,,,,,,,,
AU,31.031,31.768,nonspeech,False,,,,,,,,,,,,True,
FA,31.768,33.666,speech,False,female,adult,standard,,,,,,,,,,
BH,33.666,34.963,nonspeech,False,,,,,,True,,,,,,,
IE,34.963,37.672,speech,False,undefgender,child,standard,,,,,,,,,,
BH,37.672,40.529,nonspeech,False,,,,,,True,,,,,,,
FA-,40.529,41.531,speech,False,female,adult,onomatopoeia,,,,,,,,,,
HE,41.531,44.124,speech,False,male,child,standard,,,,,,,,,,
BR+MU2,44.124,50.068,nonspeech,True,,,,,True,,,,True,,,,
AU,50.068,51.518,nonspeech,False,,,,,,,,,,,,True,
FA,51.518,53.951,speech,False,female,adult,standard,,,,,,,,,,
IE,53.951,57.26,speech,False,undefgender,child,standard,,,,,,,,,,
FA,57.26,58.577,speech,False,female,adult,standard,,,,,,,,,,
BR+MU2,58.577,60.658,nonspeech,True,,,,,True,,,,True,,,,
AU,60.658,61.291,nonspeech,False,,,,,,,,,,,,True,
