label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HA,0.0,2.513,speech,False,male,adult,standard,,,,,,,,,,
BR,2.513,2.94,nonspeech,False,,,,,True,,,,,,,,
HA,2.94,8.224,speech,False,male,adult,standard,,,,,,,,,,
,8.224,8.62,nonspeech,False,,,,,,,,,,,,,True
HA,8.62,12.008,speech,False,male,adult,standard,,,,,,,,,,
,12.008,12.746,nonspeech,False,,,,,,,,,,,,,True
MU2,12.746,13.437,nonspeech,False,,,,,,,,,True,,,,
FA,13.437,15.625,speech,False,female,adult,standard,,,,,,,,,,
MU2,15.625,16.085,nonspeech,False,,,,,,,,,True,,,,
FA,16.085,27.765,speech,False,female,adult,standard,,,,,,,,,,
BR,27.765,28.737,nonspeech,False,,,,,True,,,,,,,,
FA,28.737,29.509,speech,False,female,adult,standard,,,,,,,,,,
BR,29.509,30.594,nonspeech,False,,,,,True,,,,,,,,
FA,30.594,32.369,speech,False,female,adult,standard,,,,,,,,,,
,32.369,33.931,nonspeech,False,,,,,,,,,,,,,True
FA,33.931,35.197,speech,False,female,adult,standard,,,,,,,,,,
BR,35.197,35.648,nonspeech,False,,,,,True,,,,,,,,
FA,35.648,36.816,speech,False,female,adult,standard,,,,,,,,,,
MU2,36.816,37.757,nonspeech,False,,,,,,,,,True,,,,
FA,37.757,38.343,speech,False,female,adult,standard,,,,,,,,,,
MU2,38.343,38.791,nonspeech,False,,,,,,,,,True,,,,
FA,38.791,40.566,speech,False,female,adult,standard,,,,,,,,,,
MU2,40.566,45.809,nonspeech,False,,,,,,,,,True,,,,
FA,45.809,48.909,speech,False,female,adult,standard,,,,,,,,,,
MU1,48.909,54.633,nonspeech,False,,,,,,,,True,,,,,
FA,54.633,57.061,speech,False,female,adult,standard,,,,,,,,,,
MU2,57.061,57.92,nonspeech,False,,,,,,,,,True,,,,
,57.92,58.601,nonspeech,False,,,,,,,,,,,,,True
JI,58.601,61.151,nonspeech,False,,,,,,,True,,,,,,
,61.151,61.931,nonspeech,False,,,,,,,,,,,,,True
