label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
MU1,0.0,1.865,nonspeech,False,,,,,,,,True,,,,,
,1.865,2.406,nonspeech,False,,,,,,,,,,,,,True
MU1,2.406,26.377,nonspeech,False,,,,,,,,True,,,,,
FA,26.377,27.557,speech,False,female,adult,standard,,,,,,,,,,
MU2,27.557,27.952,nonspeech,False,,,,,,,,,True,,,,
FA,27.952,29.037,speech,False,female,adult,standard,,,,,,,,,,
MU2,29.037,29.717,nonspeech,False,,,,,,,,,True,,,,
FA,29.717,32.083,speech,False,female,adult,standard,,,,,,,,,,
BR,32.083,34.571,nonspeech,False,,,,,True,,,,,,,,
HA,34.571,35.217,speech,False,male,adult,standard,,,,,,,,,,
,35.217,35.772,nonspeech,False,,,,,,,,,,,,,True
FA,35.772,37.842,speech,False,female,adult,standard,,,,,,,,,,
MU1,37.842,38.585,nonspeech,False,,,,,,,,True,,,,,
FA,38.585,39.95,speech,False,female,adult,standard,,,,,,,,,,
MU2,39.95,40.532,nonspeech,False,,,,,,,,,True,,,,
HA,40.532,41.328,speech,False,male,adult,standard,,,,,,,,,,
FA,41.328,42.852,speech,False,female,adult,standard,,,,,,,,,,
BR,42.852,43.716,nonspeech,False,,,,,True,,,,,,,,
MU2,43.716,44.522,nonspeech,False,,,,,,,,,True,,,,
HA,44.522,51.07,speech,False,male,adult,standard,,,,,,,,,,
FA,51.07,51.508,speech,False,female,adult,standard,,,,,,,,,,
MU2,51.508,52.879,nonspeech,False,,,,,,,,,True,,,,
,52.879,53.362,nonspeech,False,,,,,,,,,,,,,True
FA,53.362,56.981,speech,False,female,adult,standard,,,,,,,,,,
RE,56.981,57.339,nonspeech,False,,,,,,,,,,True,,,
FA,57.339,58.33,speech,False,female,adult,standard,,,,,,,,,,
BR,58.33,59.219,nonspeech,False,,,,,True,,,,,,,,
FA,59.219,60.501,speech,False,female,adult,standard,,,,,,,,,,
