label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HA,0.0,2.26,speech,False,male,adult,standard,,,,,,,,,,
FA,2.26,2.909,speech,False,female,adult,standard,,,,,,,,,,
HA,2.909,3.495,speech,False,male,adult,standard,,,,,,,,,,
BR,3.495,3.867,nonspeech,False,,,,,True,,,,,,,,
HA,3.867,5.927,speech,False,male,adult,standard,,,,,,,,,,
RI,5.927,6.676,nonspeech,False,,,,,,,,,,,True,,
HA,6.676,20.043,speech,False,male,adult,standard,,,,,,,,,,
RI,20.043,21.342,nonspeech,False,,,,,,,,,,,True,,
FA,21.342,25.321,speech,False,female,adult,standard,,,,,,,,,,
BH,25.321,26.713,nonspeech,False,,,,,,True,,,,,,,
HA,26.713,31.595,speech,False,male,adult,standard,,,,,,,,,,
FA,31.595,39.813,speech,False,female,adult,standard,,,,,,,,,,
BR,39.813,40.176,nonspeech,False,,,,,True,,,,,,,,
FA,40.176,43.728,speech,False,female,adult,standard,,,,,,,,,,
MU1,43.728,46.896,nonspeech,False,,,,,,,,True,,,,,
,46.896,47.608,nonspeech,False,,,,,,,,,,,,,True
FA,47.608,48.773,speech,False,female,adult,standard,,,,,,,,,,
,48.773,49.09,nonspeech,False,,,,,,,,,,,,,True
FA,49.09,50.338,speech,False,female,adult,standard,,,,,,,,,,
,50.338,51.37,nonspeech,False,,,,,,,,,,,,,True
FA,51.37,52.27,speech,False,female,adult,standard,,,,,,,,,,
BH,52.27,53.187,nonspeech,False,,,,,,True,,,,,,,
FA,53.187,53.824,speech,False,female,adult,standard,,,,,,,,,,
BH,53.824,54.414,nonspeech,False,,,,,,True,,,,,,,
FA,54.414,55.742,speech,False,female,adult,standard,,,,,,,,,,
BR,55.742,56.274,nonspeech,False,,,,,True,,,,,,,,
FA,56.274,61.227,speech,False,female,adult,standard,,,,,,,,,,
