label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
MU2,0.0,0.722,nonspeech,False,,,,,,,,,True,,,,
HA,0.722,1.739,speech,False,male,adult,standard,,,,,,,,,,
HA-,1.739,2.241,speech,False,male,adult,onomatopoeia,,,,,,,,,,
BR,2.241,2.764,nonspeech,False,,,,,True,,,,,,,,
HA,2.764,3.272,speech,False,male,adult,standard,,,,,,,,,,
RE,3.272,4.043,nonspeech,False,,,,,,,,,,True,,,
HA,4.043,5.282,speech,False,male,adult,standard,,,,,,,,,,
BR,5.282,5.979,nonspeech,False,,,,,True,,,,,,,,
HA,5.979,6.523,speech,False,male,adult,standard,,,,,,,,,,
BR,6.523,6.967,nonspeech,False,,,,,True,,,,,,,,
HA,6.967,12.037,speech,False,male,adult,standard,,,,,,,,,,
,12.037,12.437,nonspeech,False,,,,,,,,,,,,,True
HA-,12.437,13.177,speech,False,male,adult,onomatopoeia,,,,,,,,,,
HA,13.177,20.542,speech,False,male,adult,standard,,,,,,,,,,
,20.542,21.771,nonspeech,False,,,,,,,,,,,,,True
HA,21.771,22.805,speech,False,male,adult,standard,,,,,,,,,,
HA-,22.805,23.664,speech,False,male,adult,onomatopoeia,,,,,,,,,,
HA,23.664,30.477,speech,False,male,adult,standard,,,,,,,,,,
,30.477,31.327,nonspeech,False,,,,,,,,,,,,,True
HA,31.327,36.85,speech,False,male,adult,standard,,,,,,,,,,
,36.85,37.151,nonspeech,False,,,,,,,,,,,,,True
HA-,37.151,37.531,speech,False,male,adult,onomatopoeia,,,,,,,,,,
,37.531,38.117,nonspeech,False,,,,,,,,,,,,,True
HA,38.117,42.76,speech,False,male,adult,standard,,,,,,,,,,
,42.76,43.392,nonspeech,False,,,,,,,,,,,,,True
HA,43.392,48.172,speech,False,male,adult,standard,,,,,,,,,,
RE+BR,48.172,48.49,nonspeech,True,,,,,True,,,,,True,,,
HA,48.49,51.742,speech,False,male,adult,standard,,,,,,,,,,
BR,51.742,52.342,nonspeech,False,,,,,True,,,,,,,,
HA,52.342,52.819,speech,False,male,adult,standard,,,,,,,,,,
,52.819,53.272,nonspeech,False,,,,,,,,,,,,,True
HA,53.272,58.035,speech,False,male,adult,standard,,,,,,,,,,
,58.035,58.346,nonspeech,False,,,,,,,,,,,,,True
HA,58.346,59.557,speech,False,male,adult,standard,,,,,,,,,,
RI,59.557,60.047,nonspeech,False,,,,,,,,,,,True,,
HA,60.047,60.437,speech,False,male,adult,standard,,,,,,,,,,
