label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
HA,0.0,2.007,speech,False,male,adult,standard,,,,,,,,,,
MU2,2.007,2.65,nonspeech,False,,,,,,,,,True,,,,
HA,2.65,9.458,speech,False,male,adult,standard,,,,,,,,,,
MU2,9.458,10.096,nonspeech,False,,,,,,,,,True,,,,
HA,10.096,13.185,speech,False,male,adult,standard,,,,,,,,,,
MU2,13.185,14.166,nonspeech,False,,,,,,,,,True,,,,
HA,14.166,19.312,speech,False,male,adult,standard,,,,,,,,,,
BR,19.312,20.089,nonspeech,False,,,,,True,,,,,,,,
HA,20.089,27.282,speech,False,male,adult,standard,,,,,,,,,,
BR,27.282,27.831,nonspeech,False,,,,,True,,,,,,,,
HA,27.831,29.696,speech,False,male,adult,standard,,,,,,,,,,
BR,29.696,30.122,nonspeech,False,,,,,True,,,,,,,,
HA,30.122,32.355,speech,False,male,adult,standard,,,,,,,,,,
BR,32.355,32.883,nonspeech,False,,,,,True,,,,,,,,
HA,32.883,34.617,speech,False,male,adult,standard,,,,,,,,,,
BR,34.617,35.013,nonspeech,False,,,,,True,,,,,,,,
HA,35.013,37.918,speech,False,male,adult,standard,,,,,,,,,,
MU2,37.918,38.835,nonspeech,False,,,,,,,,,True,,,,
HA,38.835,40.253,speech,False,male,adult,standard,,,,,,,,,,
MU2,40.253,40.659,nonspeech,False,,,,,,,,,True,,,,
HA,40.659,45.049,speech,False,male,adult,standard,,,,,,,,,,
MU2,45.049,45.482,nonspeech,False,,,,,,,,,True,,,,
FA+FA,45.482,53.392,speech,True,female,adult,standard,,,,,,,,,,
BR,53.392,53.866,nonspeech,False,,,,,True,,,,,,,,
HA,53.866,59.145,speech,False,male,adult,standard,,,,,,,,,,
RE,59.145,59.593,nonspeech,False,,,,,,,,,,True,,,
HA,59.593,61.611,speech,False,male,adult,standard,,,,,,,,,,
