label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
BR,0.0,0.522,nonspeech,False,,,,,True,,,,,,,,
HA,0.522,2.858,speech,False,male,adult,standard,,,,,,,,,,
RI,2.858,4.356,nonspeech,False,,,,,,,,,,,True,,
FA,4.356,9.551,speech,False,female,adult,standard,,,,,,,,,,
RI,9.551,10.991,nonspeech,False,,,,,,,,,,,True,,
FA,10.991,14.72,speech,False,female,adult,standard,,,,,,,,,,
HA,14.72,21.686,speech,False,male,adult,standard,,,,,,,,,,
RE,21.686,22.113,nonspeech,False,,,,,,,,,,True,,,
HA,22.113,24.47,speech,False,male,adult,standard,,,,,,,,,,
RE,24.47,24.975,nonspeech,False,,,,,,,,,,True,,,
HA,24.975,26.444,speech,False,male,adult,standard,,,,,,,,,,
RI,26.444,31.059,nonspeech,False,,,,,,,,,,,True,,
HA,31.059,33.505,speech,False,male,adult,standard,,,,,,,,,,
RI,33.505,35.05,nonspeech,False,,,,,,,,,,,True,,
HA,35.05,40.941,speech,False,male,adult,standard,,,,,,,,,,
RI,40.941,42.065,nonspeech,False,,,,,,,,,,,True,,
HA,42.065,45.102,speech,False,male,adult,standard,,,,,,,,,,
BR,45.102,45.506,nonspeech,False,,,,,True,,,,,,,,
RI,45.506,46.981,nonspeech,False,,,,,,,,,,,True,,
HA,46.981,58.73,speech,False,male,adult,standard,,,,,,,,,,
MU2,58.73,59.347,nonspeech,False,,,,,,,,,True,,,,
HA,59.347,60.864,speech,False,male,adult,standard,,,,,,,,,,
