label,start,stop,voice_activity,overlap,speaker_gender,speaker_age,speech_quality,applause,noise,hubbub,jingle,fg_music,bg_music,respiration,laughers,other,empty
MU1,0.0,31.418,nonspeech,False,,,,,,,,True,,,,,
,31.418,37.084,nonspeech,False,,,,,,,,,,,,,True
HA,37.084,37.809,speech,False,male,adult,standard,,,,,,,,,,
,37.809,38.714,nonspeech,False,,,,,,,,,,,,,True
HA,38.714,39.535,speech,False,male,adult,standard,,,,,,,,,,
,39.535,41.228,nonspeech,False,,,,,,,,,,,,,True
HA,41.228,43.404,speech,False,male,adult,standard,,,,,,,,,,
,43.404,46.041,nonspeech,False,,,,,,,,,,,,,True
HA,46.041,48.122,speech,False,male,adult,standard,,,,,,,,,,
,48.122,48.596,nonspeech,False,,,,,,,,,,,,,True
HA,48.596,49.15,speech,False,male,adult,standard,,,,,,,,,,
,49.15,50.397,nonspeech,False,,,,,,,,,,,,,True
HA,50.397,50.908,speech,False,male,adult,standard,,,,,,,,,,
,50.908,52.104,nonspeech,False,,,,,,,,,,,,,True
HA,52.104,52.819,speech,False,male,adult,standard,,,,,,,,,,
,52.819,55.28,nonspeech,False,,,,,,,,,,,,,True
HA,55.28,56.634,speech,False,male,adult,standard,,,,,,,,,,
,56.634,57.294,nonspeech,False,,,,,,,,,,,,,True
HA,57.294,58.437,speech,False,male,adult,standard,,,,,,,,,,
,58.437,61.086,nonspeech,False,,,,,,,,,,,,,True
HA,61.086,61.781,speech,False,male,adult,standard,,,,,,,,,,
