fileid,media,channel_code,channel_name,channel_category,broadcast_hour,vad_difficulty
radio-FBL-011904,radio,FBL,France Bleu,music_radio,1,EASY
radio-FBL-025455,radio,FBL,France Bleu,music_radio,2,MEDIUM
radio-FBL-035452,radio,FBL,France Bleu,music_radio,3,EASY
radio-FBL-044522,radio,FBL,France Bleu,music_radio,4,MEDIUM
radio-FBL-051706,radio,FBL,France Bleu,music_radio,5,EASY
radio-FBL-083109,radio,FBL,France Bleu,music_radio,8,EASY
radio-FBL-090844,radio,FBL,France Bleu,music_radio,9,EASY
radio-FBL-092729,radio,FBL,France Bleu,music_radio,9,MEDIUM
radio-FBL-132313,radio,FBL,France Bleu,music_radio,13,EASY
radio-FBL-205100,radio,FBL,France Bleu,music_radio,20,EASY
radio-FBL-220700,radio,FBL,France Bleu,music_radio,22,EASY
radio-FBL-234419,radio,FBL,France Bleu,music_radio,23,EASY
radio-FCR-031913,radio,FCR,France Culture,generalist_radio,3,HARD
radio-FCR-083707,radio,FCR,France Culture,generalist_radio,8,MEDIUM
radio-FCR-115618,radio,FCR,France Culture,generalist_radio,11,HARD
radio-FCR-171139,radio,FCR,France Culture,generalist_radio,17,MEDIUM
radio-FCR-214556,radio,FCR,France Culture,generalist_radio,21,HARD
radio-FCR-225430,radio,FCR,France Culture,generalist_radio,22,MEDIUM
radio-FIF-033339,radio,FIF,France Info,generalist_radio,3,EASY
radio-FIF-103502,radio,FIF,France Info,generalist_radio,10,EASY
radio-FIF-111258,radio,FIF,France Info,generalist_radio,11,EASY
radio-FIF-120453,radio,FIF,France Info,generalist_radio,12,EASY
radio-FIF-121714,radio,FIF,France Info,generalist_radio,12,EASY
radio-FIF-140426,radio,FIF,France Info,generalist_radio,14,EASY
radio-FIF-141149,radio,FIF,France Info,generalist_radio,14,EASY
radio-FIF-145356,radio,FIF,France Info,generalist_radio,14,EASY
radio-FIF-180928,radio,FIF,France Info,generalist_radio,18,EASY
radio-FIF-184016,radio,FIF,France Info,generalist_radio,18,EASY
radio-FIF-221229,radio,FIF,France Info,generalist_radio,22,EASY
radio-FIP-063229,radio,FIP,FIP,music_radio,6,EASY
radio-FIP-110726,radio,FIP,FIP,music_radio,11,EASY
radio-FIP-180932,radio,FIP,FIP,music_radio,18,HARD
radio-FIP-232113,radio,FIP,FIP,music_radio,23,HARD
radio-FIT-022227,radio,FIT,France Inter,generalist_radio,2,MEDIUM
radio-FIT-041739,radio,FIT,France Inter,generalist_radio,4,EASY
radio-FIT-130412,radio,FIT,France Inter,generalist_radio,13,EASY
radio-FIT-141155,radio,FIT,France Inter,generalist_radio,14,EASY
radio-FIT-142945,radio,FIT,France Inter,generalist_radio,14,EASY
radio-FIT-193651,radio,FIT,France Inter,generalist_radio,19,MEDIUM
radio-FMU-050837,radio,FMU,France Musique,music_radio,5,EASY
radio-FMU-051309,radio,FMU,France Musique,music_radio,5,EASY
radio-FMU-051454,radio,FMU,France Musique,music_radio,5,EASY
radio-FMU-101443,radio,FMU,France Musique,music_radio,10,EASY
radio-FMU-121018,radio,FMU,France Musique,music_radio,12,EASY
radio-FMU-122555,radio,FMU,France Musique,music_radio,12,EASY
radio-FMU-135816,radio,FMU,France Musique,music_radio,13,EASY
radio-FMU-144831,radio,FMU,France Musique,music_radio,14,EASY
radio-FMU-154738,radio,FMU,France Musique,music_radio,15,EASY
radio-FMU-181337,radio,FMU,France Musique,music_radio,18,EASY
radio-FMU-182133,radio,FMU,France Musique,music_radio,18,EASY
