start,stop,label
0.0,1.128,male
1.967,2.543,male
2.543,5.954,female
6.64,7.431,female
7.431,8.628,male
8.628,10.436,female
11.122,16.808,female
16.808,17.137,male
17.137,17.67,female
17.67,19.436,male
19.899,20.297,female
20.799,21.053,male
21.053,21.549,female
21.549,21.898,male
22.589,25.33,male
25.33,25.521,female
26.397,26.661,male
27.404,27.695,male
28.276,28.83,male
29.563,30.207,male
30.893,33.518,male
34.287,38.701,male
39.161,44.005,male
44.549,45.667,male
46.248,46.86,male
47.73,49.623,male
50.588,51.411,male
52.048,53.478,male
54.032,55.291,male
58.183,59.738,male
60.159,60.949,male
