start,stop,label
0.0,2.445,speech
2.445,2.813,nonspeech
2.813,7.134,speech
7.134,7.537,nonspeech
7.537,13.523,speech
13.523,13.929,nonspeech
13.929,17.849,speech
17.849,18.202,nonspeech
18.202,21.168,speech
21.168,21.626,nonspeech
21.626,24.819,speech
24.819,25.246,nonspeech
25.246,28.672,speech
28.672,29.083,nonspeech
29.083,30.303,speech
30.303,30.853,nonspeech
30.853,34.306,speech
34.306,34.728,nonspeech
34.728,44.277,speech
44.277,44.609,nonspeech
44.609,49.078,speech
49.078,49.542,nonspeech
49.542,56.324,speech
56.324,56.678,nonspeech
56.678,60.032,speech
