start,stop,label
0.0,3.237,speech
3.237,3.795,nonspeech
3.795,9.802,speech
9.802,10.692,nonspeech
10.692,15.167,speech
15.167,15.85,nonspeech
15.85,18.875,speech
18.875,19.438,nonspeech
19.438,24.584,speech
24.584,25.011,nonspeech
25.011,26.928,speech
26.928,27.628,nonspeech
27.628,30.317,speech
30.317,30.686,nonspeech
30.686,34.353,speech
34.353,34.864,nonspeech
34.864,38.723,speech
38.723,39.175,nonspeech
39.175,41.689,speech
41.689,42.19,nonspeech
42.19,45.232,speech
45.232,45.685,nonspeech
45.685,46.785,speech
46.785,47.249,nonspeech
47.249,47.782,speech
47.782,48.468,nonspeech
48.468,53.252,speech
53.252,53.779,nonspeech
53.779,57.262,speech
57.262,57.796,nonspeech
57.796,60.032,speech
