start,stop,label
0.0,0.2,speech
0.2,0.606,nonspeech
0.606,6.307,speech
6.307,11.465,nonspeech
11.465,17.128,speech
17.128,17.634,nonspeech
17.634,22.996,speech
22.996,28.887,nonspeech
28.887,32.795,speech
32.795,33.206,nonspeech
33.206,36.488,speech
36.488,36.857,nonspeech
36.857,40.935,speech
40.935,41.283,nonspeech
41.283,43.164,speech
43.164,43.496,nonspeech
43.496,47.632,speech
47.632,48.001,nonspeech
48.001,51.362,speech
51.362,51.863,nonspeech
51.863,56.36,speech
56.36,56.692,nonspeech
56.692,59.447,speech
59.447,59.837,nonspeech
59.837,60.032,speech
