start,stop,label
0.0,3.324,speech
3.324,3.693,nonspeech
3.693,6.622,speech
6.622,6.98,nonspeech
6.98,12.696,speech
12.696,13.174,nonspeech
13.174,17.066,speech
17.066,17.503,nonspeech
17.503,27.233,speech
27.233,27.625,nonspeech
27.625,32.431,speech
32.431,32.884,nonspeech
32.884,36.036,speech
36.036,36.4,nonspeech
36.4,40.499,speech
40.499,40.931,nonspeech
40.931,48.098,speech
48.098,48.472,nonspeech
48.472,50.666,speech
50.666,50.993,nonspeech
50.993,53.265,speech
53.265,53.622,nonspeech
53.622,60.032,speech
