start,stop,label
0.0,3.467,speech
3.467,4.162,nonspeech
4.162,11.244,speech
11.244,11.924,nonspeech
11.924,15.64,speech
15.64,15.986,nonspeech
15.986,19.249,speech
19.249,19.918,nonspeech
19.918,25.023,speech
25.023,25.429,nonspeech
25.429,27.579,speech
27.579,28.006,nonspeech
28.006,29.334,speech
29.334,29.698,nonspeech
29.698,34.969,speech
34.969,35.375,nonspeech
35.375,37.974,speech
37.974,38.48,nonspeech
38.48,43.804,speech
43.804,44.384,nonspeech
44.384,46.628,speech
46.628,47.061,nonspeech
47.061,50.017,speech
50.017,50.475,nonspeech
50.475,53.968,speech
53.968,54.463,nonspeech
54.463,60.032,speech
