start,stop,label
0.0,2.54,speech
2.54,2.924,nonspeech
2.924,4.652,speech
4.652,5.047,nonspeech
5.047,9.194,speech
9.194,9.531,nonspeech
9.531,14.089,speech
14.089,14.458,nonspeech
14.458,19.458,speech
19.458,19.795,nonspeech
19.795,22.43,speech
22.43,22.751,nonspeech
22.751,28.68,speech
28.68,29.053,nonspeech
29.053,33.8,speech
33.8,34.169,nonspeech
34.169,36.535,speech
36.535,36.917,nonspeech
36.917,46.058,speech
46.058,46.448,nonspeech
46.448,49.825,speech
49.825,50.178,nonspeech
50.178,54.103,speech
54.103,54.497,nonspeech
54.497,56.425,speech
56.425,56.799,nonspeech
56.799,58.61,speech
58.61,58.918,nonspeech
58.918,60.011,speech
