start,stop,label
0.0,3.288,speech
3.288,3.636,nonspeech
3.636,4.423,speech
4.423,4.773,nonspeech
4.773,6.085,speech
6.085,6.623,nonspeech
6.623,8.251,speech
8.251,8.788,nonspeech
8.788,10.818,speech
10.818,11.829,nonspeech
11.829,17.16,speech
17.16,17.592,nonspeech
17.592,19.283,speech
19.283,19.647,nonspeech
19.647,22.096,speech
22.096,22.84,nonspeech
22.84,24.073,speech
24.073,24.531,nonspeech
24.531,26.855,speech
26.855,27.276,nonspeech
27.276,29.515,speech
29.515,29.862,nonspeech
29.862,32.233,speech
32.233,32.818,nonspeech
32.818,36.781,speech
36.781,37.24,nonspeech
37.24,38.17,speech
38.17,38.789,nonspeech
38.789,40.758,speech
40.758,41.207,nonspeech
41.207,45.19,speech
45.19,45.664,nonspeech
45.664,48.628,speech
48.628,49.3,nonspeech
49.3,51.26,speech
51.26,51.955,nonspeech
51.955,53.682,speech
53.682,54.11,nonspeech
54.11,60.032,speech
