start,stop,label
0.0,0.843,nonspeech
0.843,1.702,speech
1.702,3.177,nonspeech
3.177,3.94,speech
3.94,6.094,nonspeech
6.094,9.51,speech
9.51,10.379,nonspeech
10.379,10.927,speech
10.927,13.578,nonspeech
13.578,14.832,speech
14.832,15.216,nonspeech
15.216,17.121,speech
17.121,19.627,nonspeech
19.627,21.413,speech
21.413,21.808,nonspeech
21.808,23.099,speech
23.099,23.74,nonspeech
23.74,24.535,speech
24.535,26.353,nonspeech
26.353,27.323,speech
27.323,30.358,nonspeech
30.358,32.586,speech
32.586,33.192,nonspeech
33.192,35.48,speech
35.48,36.027,nonspeech
36.027,37.086,speech
37.086,37.661,nonspeech
37.661,38.421,speech
38.421,39.953,nonspeech
39.953,41.228,speech
41.228,41.65,nonspeech
41.65,42.692,speech
42.692,46.598,nonspeech
46.598,48.301,speech
48.301,49.676,nonspeech
49.676,50.071,speech
50.071,51.991,nonspeech
51.991,52.732,speech
52.732,54.366,nonspeech
54.366,56.553,speech
56.553,60.046,nonspeech
60.046,60.779,speech
