start,stop,label
0.0,1.344,speech
1.344,9.314,nonspeech
9.314,11.445,speech
11.445,11.855,nonspeech
11.855,13.39,speech
13.39,15.221,nonspeech
15.221,16.448,speech
16.448,16.928,nonspeech
16.928,18.224,speech
18.224,19.773,nonspeech
19.773,23.31,speech
23.31,24.089,nonspeech
24.089,26.026,speech
26.026,28.941,nonspeech
28.941,31.049,speech
31.049,31.778,nonspeech
31.778,34.707,speech
34.707,40.736,nonspeech
40.736,43.559,speech
43.559,44.047,nonspeech
44.047,45.601,speech
45.601,46.246,nonspeech
46.246,50.123,speech
50.123,50.916,nonspeech
50.916,53.948,speech
53.948,58.013,nonspeech
58.013,59.933,speech
59.933,60.344,nonspeech
60.344,61.845,speech
