start,stop,label
0.0,0.59,speech
0.59,1.591,nonspeech
1.591,2.767,speech
2.767,3.495,nonspeech
3.495,9.671,speech
9.671,11.685,nonspeech
11.685,15.12,speech
15.12,15.707,nonspeech
15.707,16.203,speech
16.203,17.162,nonspeech
17.162,19.545,speech
19.545,21.543,nonspeech
21.543,23.899,speech
23.899,26.282,nonspeech
26.282,27.662,speech
27.662,30.05,nonspeech
30.05,38.344,speech
38.344,39.03,nonspeech
39.03,46.713,speech
46.713,47.528,nonspeech
47.528,55.741,speech
55.741,57.543,nonspeech
57.543,60.693,speech
