start,stop,label
0.0,1.344,speech
1.344,1.675,nonspeech
1.675,2.613,speech
2.613,5.896,nonspeech
5.896,7.129,speech
7.129,7.682,nonspeech
7.682,10.468,speech
10.468,12.487,nonspeech
12.487,13.34,speech
13.34,14.494,nonspeech
14.494,18.651,speech
18.651,19.062,nonspeech
19.062,20.753,speech
20.753,21.164,nonspeech
21.164,22.413,speech
22.413,24.91,nonspeech
24.91,25.369,speech
25.369,26.487,nonspeech
26.487,27.597,speech
27.597,28.781,nonspeech
28.781,30.475,speech
30.475,31.073,nonspeech
31.073,33.307,speech
33.307,33.987,nonspeech
33.987,37.043,speech
37.043,37.47,nonspeech
37.47,38.766,speech
38.766,39.102,nonspeech
39.102,39.999,speech
39.999,40.815,nonspeech
40.815,43.54,speech
43.54,44.315,nonspeech
44.315,45.156,speech
45.156,45.52,nonspeech
45.52,47.986,speech
47.986,48.871,nonspeech
48.871,52.802,speech
52.802,53.513,nonspeech
53.513,55.173,speech
55.173,55.71,nonspeech
55.71,57.465,speech
57.465,58.034,nonspeech
58.034,61.184,speech
61.184,61.642,nonspeech
61.642,62.037,speech
