start,stop,label
0.0,1.707,speech
1.707,2.103,nonspeech
2.103,5.824,speech
5.824,6.405,nonspeech
6.405,8.708,speech
8.708,9.505,nonspeech
9.505,12.541,speech
12.541,12.927,nonspeech
12.927,15.072,speech
15.072,15.578,nonspeech
15.578,17.565,speech
17.565,18.003,nonspeech
18.003,21.855,speech
21.855,22.219,nonspeech
22.219,24.865,speech
24.865,25.293,nonspeech
25.293,32.438,speech
32.438,32.955,nonspeech
32.955,35.675,speech
35.675,36.345,nonspeech
36.345,36.715,speech
36.715,37.057,nonspeech
37.057,39.355,speech
39.355,40.114,nonspeech
40.114,45.221,speech
45.221,45.675,nonspeech
45.675,51.445,speech
51.445,51.793,nonspeech
51.793,53.273,speech
53.273,53.61,nonspeech
53.61,59.221,speech
59.221,59.611,nonspeech
59.611,60.501,speech
