start,stop,label
0.0,3.818,speech
3.818,4.429,nonspeech
4.429,8.677,speech
8.677,9.057,nonspeech
9.057,16.756,speech
16.756,17.186,nonspeech
17.186,19.341,speech
19.341,19.901,nonspeech
19.901,21.321,speech
21.321,23.737,nonspeech
23.737,25.608,speech
25.608,26.378,nonspeech
26.378,36.941,speech
36.941,37.436,nonspeech
37.436,44.649,speech
44.649,45.101,nonspeech
45.101,53.934,speech
53.934,54.418,nonspeech
54.418,56.953,speech
56.953,57.322,nonspeech
57.322,58.357,speech
58.357,59.142,nonspeech
59.142,60.971,speech
