start,stop,label
0.0,7.525,speech
7.525,7.876,nonspeech
7.876,9.596,speech
9.596,9.97,nonspeech
9.97,12.147,speech
12.147,12.449,nonspeech
12.449,13.321,speech
13.321,13.626,nonspeech
13.626,15.242,speech
15.242,15.691,nonspeech
15.691,16.256,speech
16.256,16.622,nonspeech
16.622,19.435,speech
19.435,19.778,nonspeech
19.778,21.366,speech
21.366,21.698,nonspeech
21.698,25.78,speech
25.78,26.178,nonspeech
26.178,26.984,speech
26.984,27.546,nonspeech
27.546,29.254,speech
29.254,29.671,nonspeech
29.671,32.203,speech
32.203,32.604,nonspeech
32.604,34.169,speech
34.169,34.411,nonspeech
34.411,36.348,speech
36.348,36.649,nonspeech
36.649,46.317,speech
46.317,47.16,nonspeech
47.16,51.317,speech
51.317,51.791,nonspeech
51.791,54.009,speech
54.009,56.006,nonspeech
56.006,59.102,speech
59.102,59.951,nonspeech
59.951,61.141,speech
