start,stop,label
0.0,3.282,speech
3.282,3.651,nonspeech
3.651,4.231,speech
4.231,5.634,nonspeech
5.634,8.559,speech
8.559,8.927,nonspeech
8.927,11.259,speech
11.259,11.915,nonspeech
11.915,15.534,speech
15.534,16.596,nonspeech
16.596,19.223,speech
19.223,19.91,nonspeech
19.91,21.089,speech
21.089,22.96,nonspeech
22.96,25.017,speech
25.017,25.653,nonspeech
25.653,27.14,speech
27.14,27.566,nonspeech
27.566,28.245,speech
28.245,28.65,nonspeech
28.65,39.019,speech
39.019,43.484,nonspeech
43.484,47.307,speech
47.307,50.946,nonspeech
50.946,52.292,speech
52.292,52.68,nonspeech
52.68,55.194,speech
55.194,57.312,nonspeech
57.312,59.54,speech
59.54,59.993,nonspeech
59.993,60.757,speech
