start,stop,label
0.0,6.87,nonspeech
6.87,9.58,speech
9.58,11.146,nonspeech
11.146,16.717,speech
16.717,17.998,nonspeech
17.998,22.842,speech
22.842,23.786,nonspeech
23.786,24.572,speech
24.572,33.816,nonspeech
33.816,35.408,speech
35.408,39.6,nonspeech
39.6,46.756,speech
46.756,47.574,nonspeech
47.574,49.509,speech
49.509,49.978,nonspeech
49.978,54.015,speech
54.015,54.458,nonspeech
54.458,56.533,speech
56.533,57.118,nonspeech
57.118,57.476,speech
57.476,58.366,nonspeech
58.366,59.188,speech
59.188,59.778,nonspeech
59.778,60.648,speech
60.648,61.022,nonspeech
61.022,61.269,speech
