start,stop,label
0.0,2.06,nonspeech
2.06,3.62,speech
3.62,4.157,nonspeech
4.157,5.395,speech
5.395,5.854,nonspeech
5.854,7.813,speech
7.813,9.384,nonspeech
9.384,17.538,speech
17.538,18.228,nonspeech
18.228,26.178,speech
26.178,26.868,nonspeech
26.868,32.622,speech
32.622,33.075,nonspeech
33.075,33.388,speech
33.388,33.736,nonspeech
33.736,36.018,speech
36.018,36.449,nonspeech
36.449,38.121,speech
38.121,39.049,nonspeech
39.049,41.65,speech
41.65,42.59,nonspeech
42.59,45.621,speech
45.621,46.222,nonspeech
46.222,48.456,speech
48.456,49.077,nonspeech
49.077,51.893,speech
51.893,52.556,nonspeech
52.556,53.204,speech
53.204,53.605,nonspeech
53.605,54.5,speech
54.5,54.964,nonspeech
54.964,56.85,speech
56.85,57.841,nonspeech
57.841,59.455,speech
59.455,61.099,nonspeech
