start,stop,label
0.0,2.028,speech
2.028,2.444,nonspeech
2.444,4.341,speech
4.341,4.821,nonspeech
4.821,5.323,speech
5.323,5.786,nonspeech
5.786,6.545,speech
6.545,7.024,nonspeech
7.024,13.083,speech
13.083,13.712,nonspeech
13.712,17.774,speech
17.774,18.547,nonspeech
18.547,22.514,speech
22.514,22.93,nonspeech
22.93,28.421,speech
28.421,29.517,nonspeech
29.517,33.042,speech
33.042,33.416,nonspeech
33.416,36.352,speech
36.352,36.921,nonspeech
36.921,38.358,speech
38.358,38.842,nonspeech
38.842,40.412,speech
40.412,40.85,nonspeech
40.85,44.815,speech
44.815,45.72,nonspeech
45.72,47.391,speech
47.391,47.708,nonspeech
47.708,48.325,speech
48.325,48.756,nonspeech
48.756,50.607,speech
50.607,51.044,nonspeech
51.044,56.821,speech
56.821,57.206,nonspeech
57.206,58.149,speech
58.149,58.536,nonspeech
58.536,59.242,speech
59.242,59.721,nonspeech
59.721,60.524,speech
60.524,61.099,nonspeech
