start,stop,label
0.0,3.066,speech
3.066,4.489,nonspeech
4.489,5.964,speech
5.964,6.465,nonspeech
6.465,16.249,speech
16.249,16.767,nonspeech
16.767,27.395,speech
27.395,29.691,nonspeech
29.691,34.907,speech
34.907,35.397,nonspeech
35.397,37.894,speech
37.894,38.3,nonspeech
38.3,39.157,speech
39.157,39.478,nonspeech
39.478,40.27,speech
40.27,41.134,nonspeech
41.134,43.424,speech
43.424,47.786,nonspeech
47.786,54.198,speech
54.198,54.647,nonspeech
54.647,60.26,speech
60.26,60.835,nonspeech
60.835,61.504,speech
