start,stop,label
0.0,9.768,speech
9.768,10.606,nonspeech
10.606,13.572,speech
13.572,13.873,nonspeech
13.873,15.845,speech
15.845,16.352,nonspeech
16.352,17.321,speech
17.321,18.05,nonspeech
18.05,32.968,speech
32.968,34.47,nonspeech
34.47,37.225,speech
37.225,37.594,nonspeech
37.594,41.277,speech
41.277,46.5,nonspeech
46.5,48.178,speech
48.178,48.674,nonspeech
48.674,51.538,speech
51.538,51.944,nonspeech
51.944,53.45,speech
53.45,54.263,nonspeech
54.263,55.364,speech
55.364,55.874,nonspeech
55.874,57.609,speech
57.609,61.845,nonspeech
