start,stop,label
0.0,5.3,nonspeech
5.3,5.58,speech
5.58,6.108,nonspeech
6.108,7.782,speech
7.782,9.813,nonspeech
9.813,9.987,speech
9.987,10.647,nonspeech
10.647,12.608,speech
12.608,16.273,nonspeech
16.273,17.258,speech
17.258,23.83,nonspeech
23.83,25.532,speech
25.532,26.455,nonspeech
26.455,27.995,speech
27.995,28.396,nonspeech
28.396,29.114,speech
29.114,31.768,nonspeech
31.768,33.666,speech
33.666,34.963,nonspeech
34.963,37.672,speech
37.672,40.529,nonspeech
40.529,44.124,speech
44.124,51.518,nonspeech
51.518,58.577,speech
58.577,61.291,nonspeech
