start,stop,label
0.0,15.536,nonspeech
15.536,17.756,speech
17.756,18.496,nonspeech
18.496,19.988,speech
19.988,22.287,nonspeech
22.287,22.681,speech
22.681,26.028,nonspeech
26.028,35.902,speech
35.902,41.862,nonspeech
41.862,42.339,speech
42.339,42.817,nonspeech
42.817,45.137,speech
45.137,45.707,nonspeech
45.707,46.714,speech
46.714,47.405,nonspeech
47.405,50.832,speech
50.832,51.215,nonspeech
51.215,56.099,speech
56.099,56.536,nonspeech
56.536,58.617,speech
58.617,59.234,nonspeech
59.234,60.124,speech
60.124,60.693,nonspeech
