start,stop,label
0.0,2.513,speech
2.513,2.94,nonspeech
2.94,8.224,speech
8.224,8.62,nonspeech
8.62,12.008,speech
12.008,13.437,nonspeech
13.437,15.625,speech
15.625,16.085,nonspeech
16.085,27.765,speech
27.765,28.737,nonspeech
28.737,29.509,speech
29.509,30.594,nonspeech
30.594,32.369,speech
32.369,33.931,nonspeech
33.931,35.197,speech
35.197,35.648,nonspeech
35.648,36.816,speech
36.816,37.757,nonspeech
37.757,38.343,speech
38.343,38.791,nonspeech
38.791,40.566,speech
40.566,45.809,nonspeech
45.809,48.909,speech
48.909,54.633,nonspeech
54.633,57.061,speech
57.061,61.931,nonspeech
