start,stop,label
0.0,0.659,speech
0.659,1.017,nonspeech
1.017,1.338,speech
1.338,1.902,nonspeech
1.902,3.056,speech
3.056,3.462,nonspeech
3.462,7.134,speech
7.134,7.993,nonspeech
7.993,9.726,speech
9.726,10.063,nonspeech
10.063,11.659,speech
11.659,11.907,nonspeech
11.907,16.787,speech
16.787,17.24,nonspeech
17.24,18.452,speech
18.452,19.142,nonspeech
19.142,26.541,speech
26.541,26.858,nonspeech
26.858,27.887,speech
27.887,28.475,nonspeech
28.475,37.549,speech
37.549,38.118,nonspeech
38.118,40.915,speech
40.915,41.8,nonspeech
41.8,45.651,speech
45.651,46.067,nonspeech
46.067,57.158,speech
57.158,57.497,nonspeech
57.497,61.312,speech
