start,stop,label
0.0,1.798,speech
1.798,2.173,nonspeech
2.173,6.189,speech
6.189,6.827,nonspeech
6.827,9.552,speech
9.552,9.951,nonspeech
9.951,12.275,speech
12.275,12.709,nonspeech
12.709,14.796,speech
14.796,15.466,nonspeech
15.466,16.537,speech
16.537,17.054,nonspeech
17.054,20.003,speech
20.003,21.211,nonspeech
21.211,28.132,speech
28.132,28.48,nonspeech
28.48,34.114,speech
34.114,37.993,nonspeech
37.993,50.394,speech
50.394,52.239,nonspeech
52.239,53.077,speech
53.077,54.574,nonspeech
54.574,60.037,speech
60.037,60.459,nonspeech
