start,stop,label
0.0,6.149,nonspeech
6.149,9.798,speech
9.798,11.111,nonspeech
11.111,13.36,speech
13.36,24.591,nonspeech
24.591,25.447,speech
25.447,34.728,nonspeech
34.728,35.629,speech
35.629,35.995,nonspeech
35.995,39.076,speech
39.076,39.714,nonspeech
39.714,45.116,speech
45.116,45.718,nonspeech
45.718,46.475,speech
46.475,47.175,nonspeech
47.175,47.713,speech
47.713,48.248,nonspeech
48.248,49.187,speech
49.187,53.092,nonspeech
53.092,55.731,speech
55.731,56.133,nonspeech
56.133,57.071,speech
57.071,58.03,nonspeech
58.03,61.333,speech
