start,stop,label
0.0,0.237,speech
0.237,0.548,nonspeech
0.548,1.965,speech
1.965,2.36,nonspeech
2.36,3.346,speech
3.346,3.852,nonspeech
3.852,7.058,speech
7.058,7.401,nonspeech
7.401,8.793,speech
8.793,9.185,nonspeech
9.185,10.361,speech
10.361,10.703,nonspeech
10.703,12.701,speech
12.701,13.129,nonspeech
13.129,14.879,speech
14.879,15.206,nonspeech
15.206,23.834,speech
23.834,24.192,nonspeech
24.192,24.684,speech
24.684,24.989,nonspeech
24.989,27.45,speech
27.45,27.759,nonspeech
27.759,28.182,speech
28.182,28.553,nonspeech
28.553,32.391,speech
32.391,32.895,nonspeech
32.895,33.071,speech
33.071,33.381,nonspeech
33.381,35.324,speech
35.324,35.821,nonspeech
35.821,36.36,speech
36.36,36.645,nonspeech
36.645,41.583,speech
41.583,41.952,nonspeech
41.952,44.155,speech
44.155,44.77,nonspeech
44.77,47.255,speech
47.255,47.798,nonspeech
47.798,50.896,speech
50.896,51.322,nonspeech
51.322,53.646,speech
53.646,54.521,nonspeech
54.521,61.227,speech
