start,stop,label
0.0,0.722,nonspeech
0.722,2.241,speech
2.241,2.764,nonspeech
2.764,3.272,speech
3.272,4.043,nonspeech
4.043,5.282,speech
5.282,5.979,nonspeech
5.979,6.523,speech
6.523,6.967,nonspeech
6.967,12.037,speech
12.037,12.437,nonspeech
12.437,20.542,speech
20.542,21.771,nonspeech
21.771,30.477,speech
30.477,31.327,nonspeech
31.327,36.85,speech
36.85,37.151,nonspeech
37.151,37.531,speech
37.531,38.117,nonspeech
38.117,42.76,speech
42.76,43.392,nonspeech
43.392,48.172,speech
48.172,48.49,nonspeech
48.49,51.742,speech
51.742,52.342,nonspeech
52.342,52.819,speech
52.819,53.272,nonspeech
53.272,58.035,speech
58.035,58.346,nonspeech
58.346,59.557,speech
59.557,60.047,nonspeech
60.047,60.437,speech
