start,stop,label
0.0,9.415,nonspeech
9.415,13.409,speech
13.409,13.974,nonspeech
13.974,20.367,speech
20.367,20.973,nonspeech
20.973,25.7,speech
25.7,26.301,nonspeech
26.301,31.044,speech
31.044,31.567,nonspeech
31.567,32.432,speech
32.432,32.922,nonspeech
32.922,36.855,speech
36.855,40.739,nonspeech
40.739,47.18,speech
47.18,47.738,nonspeech
47.738,48.909,speech
48.909,49.487,nonspeech
49.487,52.254,speech
52.254,52.77,nonspeech
52.77,53.417,speech
53.417,53.902,nonspeech
53.902,55.978,speech
55.978,56.389,nonspeech
56.389,59.629,speech
59.629,60.208,nonspeech
60.208,60.646,speech
60.646,61.115,nonspeech
61.115,61.547,speech
