start,stop,label
0.0,3.444,speech
3.444,7.271,nonspeech
7.271,9.165,speech
9.165,9.635,nonspeech
9.635,11.227,speech
11.227,13.549,nonspeech
13.549,14.933,speech
14.933,15.881,nonspeech
15.881,16.166,speech
16.166,16.55,nonspeech
16.55,18.863,speech
18.863,20.181,nonspeech
20.181,26.29,speech
26.29,27.502,nonspeech
27.502,28.06,speech
28.06,30.874,nonspeech
30.874,34.537,speech
34.537,34.958,nonspeech
34.958,35.965,speech
35.965,36.472,nonspeech
36.472,37.936,speech
37.936,39.099,nonspeech
39.099,44.4,speech
44.4,47.59,nonspeech
47.59,49.228,speech
49.228,49.881,nonspeech
49.881,52.837,speech
52.837,53.721,nonspeech
53.721,59.111,speech
59.111,60.544,nonspeech
