start,stop,label
0.0,0.771,nonspeech
0.771,3.098,speech
3.098,4.689,nonspeech
4.689,7.318,speech
7.318,7.903,nonspeech
7.903,10.637,speech
10.637,11.311,nonspeech
11.311,15.538,speech
15.538,16.111,nonspeech
16.111,17.087,speech
17.087,17.855,nonspeech
17.855,18.594,speech
18.594,20.694,nonspeech
20.694,21.51,speech
21.51,21.837,nonspeech
21.837,23.868,speech
23.868,24.793,nonspeech
24.793,25.783,speech
25.783,26.206,nonspeech
26.206,26.727,speech
26.727,28.671,nonspeech
28.671,31.198,speech
31.198,32.606,nonspeech
32.606,33.454,speech
33.454,34.559,nonspeech
34.559,40.547,speech
40.547,41.035,nonspeech
41.035,43.29,speech
43.29,43.862,nonspeech
43.862,47.602,speech
47.602,48.045,nonspeech
48.045,48.842,speech
48.842,49.278,nonspeech
49.278,54.293,speech
54.293,54.876,nonspeech
54.876,55.661,speech
55.661,56.046,nonspeech
56.046,57.952,speech
57.952,58.339,nonspeech
58.339,60.352,speech
60.352,60.844,nonspeech
60.844,61.973,speech
