start,stop,label
0.0,1.012,speech
1.012,3.535,nonspeech
3.535,6.876,speech
6.876,7.292,nonspeech
7.292,10.912,speech
10.912,11.507,nonspeech
11.507,14.439,speech
14.439,14.924,nonspeech
14.924,16.068,speech
16.068,37.94,nonspeech
37.94,39.726,speech
39.726,40.374,nonspeech
40.374,41.876,speech
41.876,42.687,nonspeech
42.687,43.22,speech
43.22,43.557,nonspeech
43.557,45.332,speech
45.332,47.545,nonspeech
47.545,48.899,speech
48.899,51.555,nonspeech
51.555,53.062,speech
53.062,57.446,nonspeech
57.446,60.134,speech
60.134,61.351,nonspeech
61.351,61.888,speech
