start,stop,label
0.0,3.103,nonspeech
3.103,4.542,speech
4.542,7.374,nonspeech
7.374,8.871,speech
8.871,11.031,nonspeech
11.031,13.392,speech
13.392,15.364,nonspeech
15.364,20.257,speech
20.257,21.454,nonspeech
21.454,23.378,speech
23.378,28.221,nonspeech
28.221,29.347,speech
29.347,29.959,nonspeech
29.959,30.882,speech
30.882,31.367,nonspeech
31.367,33.973,speech
33.973,34.748,nonspeech
34.748,40.292,speech
40.292,40.733,nonspeech
40.733,42.673,speech
42.673,43.512,nonspeech
43.512,47.181,speech
47.181,48.255,nonspeech
48.255,51.083,speech
51.083,53.162,nonspeech
53.162,57.361,speech
57.361,58.278,nonspeech
58.278,61.781,speech
