start,stop,label
0.0,3.73,nonspeech
3.73,4.784,speech
4.784,5.654,nonspeech
5.654,6.518,speech
6.518,7.461,nonspeech
7.461,8.435,speech
8.435,9.427,nonspeech
9.427,11.696,speech
11.696,12.272,nonspeech
12.272,15.16,speech
15.16,17.441,nonspeech
17.441,19.693,speech
19.693,21.44,nonspeech
21.44,22.462,speech
22.462,22.841,nonspeech
22.841,23.552,speech
23.552,24.401,nonspeech
24.401,25.402,speech
25.402,26.466,nonspeech
26.466,26.93,speech
26.93,32.412,nonspeech
32.412,32.755,speech
32.755,33.608,nonspeech
33.608,37.237,speech
37.237,37.911,nonspeech
37.911,38.466,speech
38.466,38.835,nonspeech
38.835,42.544,speech
42.544,43.283,nonspeech
43.283,47.703,speech
47.703,48.667,nonspeech
48.667,49.227,speech
49.227,49.843,nonspeech
49.843,50.56,speech
50.56,51.176,nonspeech
51.176,52.83,speech
52.83,53.41,nonspeech
53.41,55.77,speech
55.77,56.197,nonspeech
56.197,57.23,speech
57.23,57.972,nonspeech
57.972,59.664,speech
59.664,60.501,nonspeech
