label,start,stop
male,0.0,1.128
female,1.967,5.954
male,6.64,8.628
female,8.628,10.436
female,11.122,16.808
male,16.808,17.137
female,17.137,17.67
male,17.67,19.436
male,19.899,20.297
male,20.799,21.898
male,22.589,25.521
male,26.397,26.661
male,27.404,27.695
male,28.276,28.83
male,29.563,30.207
male,30.893,33.518
male,34.287,38.701
male,39.161,44.005
male,44.549,45.667
male,46.248,46.86
male,47.73,49.623
female,50.588,51.411
male,52.048,53.478
male,54.032,55.291
male,58.183,59.738
male,60.159,60.949
