label,start,stop
male,0.01,0.7
male,0.93,2.05
male,2.26,3.33
male,3.55,4.44
male,4.75,6.22
male,6.55,8.38
male,8.73,10.88
male,11.71,13.66
male,14.04,17.35
male,17.51,19.44
male,19.6,22.22
male,22.79,24.01
male,24.45,26.95
male,27.2,28.51
male,28.7,29.63
male,29.8,32.23
male,32.74,33.94
male,34.1,34.45
male,34.67,36.9
male,37.19,38.23
male,38.75,40.87
male,41.17,41.84
male,41.97,45.28
male,45.67,46.49
male,46.52,48.75
male,49.37,51.44
male,51.85,53.82
male,54.03,56.86
male,57.07,58.25
male,58.79,60.0
