label,start,stop
male,0.38,1.37
male,1.68,3.39
male,3.88,4.49
male,4.64,5.4
male,6.66,9.15
male,10.19,10.37
male,10.44,11.07
male,11.67,12.24
male,12.33,13.15
male,14.34,16.9
male,17.49,18.8
male,20.24,20.99
male,21.3,22.06
male,28.83,31.39
male,31.62,37.34
male,37.5,40.13
male,40.17,41.9
male,42.42,43.45
male,43.9,47.01
male,47.3,47.65
male,47.67,48.48
male,48.88,49.87
male,50.35,51.15
male,52.23,53.04
male,53.62,54.2
male,55.44,56.44
male,56.75,57.33
male,57.96,58.99
male,59.51,60.35
male,61.08,61.54
