label,start,stop
female,0.0,4.23
male,4.64,7.71
male,7.82,8.72
male,9.66,10.19
male,11.02,15.5
male,15.55,16.13
male,16.19,17.15
female,17.82,20.05
female,20.09,22.93
female,23.11,27.19
male,27.66,29.22
male,30.02,30.61
male,30.85,31.48
male,31.56,32.06
male,32.46,34.65
male,35.21,38.1
male,38.39,39.76
male,39.85,41.64
female,42.23,42.86
male,43.09,44.11
male,44.22,45.7
male,46.16,47.19
male,47.82,49.87
male,49.92,50.88
male,51.27,52.18
male,52.81,55.27
male,55.39,58.35
male,58.54,59.19
male,60.6,61.48
